"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"ร้านกัญชาTimemachine420cafe Weedshop weedshopbkk cannabis weed cannabisshop ร้านกัญชา กัญชา","ชื่อร้าน Timemachine 4 1539 ถ. ประเสริฐมนูกิจ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230","0936103939","ร้านขายกัญชาในกรุงเทพมหานคร","https://www.facebook.com/Timemachine420?mibextid=LQQJ4d","5.0","139",""," วันพฤหัสบดี 14:30–0:00, วันศุกร์ 14:30–0:00, วันเสาร์ 14:30–0:00, วันอาทิตย์ 14:30–0:00, วันจันทร์ 14:30–0:00, วันอังคาร 14:30–0:00, วันพุธ<div>(วันปิยมหาราช)</div> 14:30–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ดีทั้งบรรยากาศทั้งเนื้อเลยครับเติมระหว่างรองานสบายตัวสุดๆครับ🤘🏻💚","ได้รับ 5.0 จาก 5 ดาว,","แต่งร้านน่ารักมากกกก เจ้าของร้านน่ารักกว่าเป็นกันเองสุดๆ แนะนำร้านนี้เลยค่ะ","ได้รับ 5.0 จาก 5 ดาว,","อาการโครตได้หาที่นั่งชิวร้านนี้ตอบโจทย์","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","15389790518019729145","13.807456","100.65295599999999","http://maps.google.com/maps/place?cid=15389790518019729145","","https://www.facebook.com/Timemachine420","","",""
"กัญชา GETHIGH (เทพรักษ์) Open24ชม.","300/126 กรุงเทพมหานคร 10220","0954531159","ร้านขายกัญชาในกรุงเทพมหานคร","https://lin.ee/aZF3CqC","5.0","143",""," วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์ เปิด 24 ชั่วโมง, วันจันทร์ เปิด 24 ชั่วโมง, วันอังคาร เปิด 24 ชั่วโมง, วันพุธ<div>(วันปิยมหาราช)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ของดีราคาไปกันได้ แมวเยอะมากกกครับ","ได้รับ 5.0 จาก 5 ดาว,","ชอบมากค่ะ เจ้าของร้านกับแฟนน่ารักมาก น้องแมวก็น่ารัก กลับมาอีกแน่นอน👍🏼❤️","ได้รับ 5.0 จาก 5 ดาว,","ของดีครับร้านนี่พี่เจ้าของร้านเป็นกันเองครับ💜💜","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipNMeo3Fd41fpmpdDfMrnxRq8priqFtWMnmJoIZT","11686401410254572335","13.886100899999999","100.6173995","http://maps.google.com/maps/place?cid=11686401410254572335","","","","",""
"Broccoli (Weed shop in Bangkok 24 hours delivery) ร้านกัญชาทองหล่อ","Broccoli weed shop in 2802 Avani Atrium Bangkok บางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310","0948300731","","","","",""," วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์ เปิด 24 ชั่วโมง, วันจันทร์ เปิด 24 ชั่วโมง, วันอังคาร เปิด 24 ชั่วโมง, วันพุธ<div>(วันปิยมหาราช)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","16013946473606458973","13.747682999999999","100.5701065","http://maps.google.com/maps/place?cid=16013946473606458973","","","","",""
"Stonersclub weed ร้านกัญชา​ 大麻 dispensary","552 ถ. บรมราชชนนี แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700","0817857212","ร้านขายกัญชาในกรุงเทพมหานคร","https://instagram.com/stonersclub.bkk?igshid=ZDdkNTZiNTM=","5.0","516",""," วันพฤหัสบดี 8:00–0:00, วันศุกร์ 8:00–0:00, วันเสาร์ 8:00–0:00, วันอาทิตย์ 8:00–0:00, วันจันทร์ 8:00–0:00, วันอังคาร 8:00–0:00, วันพุธ<div>(วันปิยมหาราช)</div> 8:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ร้านดีมากครับบริการดีเหมือนอยุ่บ้านเพื่อน","ได้รับ 5.0 จาก 5 ดาว,","ทางร้านนี้บรรยากาศก็ดีมีให้เลือกหลากหลายตัวให้ลองเเมวที่ร้านก็น่ารักด้วย","ได้รับ 5.0 จาก 5 ดาว,","พี่พนักงานที่ใส่แว่นขำอร่อยมากครับ 💪🏼","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPsnTXXa7v7iab5pxtqqoATFMJp1iN6Z2sRhopt","15590191220540329298","13.7778399","100.4779525","http://maps.google.com/maps/place?cid=15590191220540329298","","","","",""
"ร้านกัญชา GETHIGH (เปิด24ชม.) สาขาสะพานใหม่","330 ซอย กิจรุ่งเรือง แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220","0840016412","ร้านขายกัญชา","https://lin.ee/viTXkds","5.0","247",""," วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์ เปิด 24 ชั่วโมง, วันจันทร์ เปิด 24 ชั่วโมง, วันอังคาร เปิด 24 ชั่วโมง, วันพุธ<div>(วันปิยมหาราช)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","บริการดีมากค่าา น้องให้คำแนะนำดีมากๆค่ะ มากันเยอะๆนะคะ น้องแมวน่ารักมากกกก","ได้รับ 5.0 จาก 5 ดาว,","ของดี ราคาคุ้มค่า มีแมวเยอะมากกก น่ารักก ใครชอบแมวต้องมาเลย ❤️❤️❤️","ได้รับ 5.0 จาก 5 ดาว,","ที่ร้านแนะนำดีมากครับ แพ็คเกจใส่ถุงให้อย่างดีครับ แมวน่ารักกมากกกก","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","6292940965869407767","13.8923759","100.60727240000001","http://maps.google.com/maps/place?cid=6292940965869407767","","","","",""
"ร้านกัญชาโชคชัย4 (ร้านกัญชาใกล้ฉัน-ลาดพร้าว-วังหิน-ลาดปลาเค้า","โชคชัย 4 ซอย 9 สะพานสอง เขตลาดพร้าว กรุงเทพมหานคร 10310","0823124026","ร้านขายกัญชาในกรุงเทพมหานคร","https://www.facebook.com/profile.php?id=61555830575917&mibextid=ZbWKwL","5.0","245",""," วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์ เปิด 24 ชั่วโมง, วันจันทร์ เปิด 24 ชั่วโมง, วันอังคาร เปิด 24 ชั่วโมง, วันพุธ<div>(วันปิยมหาราช)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","บริการดีจัดครับ ของจิง ดอก150เมาปลิ้นเลยคับ 300จะขนาดไหนราคานไทยเลยคับ💓😍😍","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศดี พ่อค้าเป็นกันเอง ร้านสะอาด ราคาเนื้อน่ารัก ค่ะรับประกัน","ได้รับ 5.0 จาก 5 ดาว,","เมามากครับของดี😍😍🤮🤮แนะนำเลยคับใคอยุ่แถวนี้โชคชัยสี่ซอย9ติดถนน","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMafeNftDecugqsohiScORXMaVE-bvDCN_gcKuL","4761756456827451238","13.7994796","100.5959251","http://maps.google.com/maps/place?cid=4761756456827451238","","https://www.facebook.com/people/%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B8%A3%E0%B8%B9%E0%B9%89%E0%B8%81%E0%B8%B1%E0%B8%8D/61555830575917/","","",""
"ลุงกัญ (กัญชา)","ไนท์บริดจ์ พหลโยธิน อินเตอร์เชนจ์ ถ. พหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220","0634018777","ร้านขายกัญชาในกรุงเทพมหานคร","https://lin.ee/4bKf8SjML","5.0","22",""," วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 10:00–22:00, วันอาทิตย์ 10:00–22:00, วันจันทร์ 10:00–22:00, วันอังคาร 10:00–22:00, วันพุธ<div>(วันปิยมหาราช)</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","พี่ค้าใจดี บริการดีมากๆครับ แนะนำเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้าใจดี,เป็นกันเอง,ราคาไม่เเรง ตอนนี้เป็นร้านประจำไปเเล้วค้าบบ🥰","ได้รับ 5.0 จาก 5 ดาว,","คุณภาพดี ส่งเร็ว คุ้มค่า 👍","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","637048083176652920","","","http://maps.google.com/maps/place?cid=637048083176652920","","","","",""
"ร้านกัญชา high Cloud พรานนก Phrannok","1090/12 ถ. พรานนก แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร 10700","0642524746","ร้านขายกัญชาในกรุงเทพมหานคร","","5.0","233",""," วันพฤหัสบดี 13:00–23:00, วันศุกร์ 13:00–23:00, วันเสาร์ 13:00–23:00, วันอาทิตย์ 13:00–23:00, วันจันทร์ 13:00–23:00, วันอังคาร 13:00–23:00, วันพุธ<div>(วันปิยมหาราช)</div> 13:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","พี่เจ้าของร้านบริการดีมากครับเป็นกันเองน่ารักมากครับ","ได้รับ 5.0 จาก 5 ดาว,","ของดีจิงๆค่าร้าน นี้ ราคาดีไว้จะมาซ้ำอี้กกค่าาา่","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศดีมากเลยค้าบ เจ้าของร้านใจดีมาก คุยสนุกมากค้าบ แวะมาอุดหนุนกันเยอะๆนะคะ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipO_AbkSq3pycS0FLYtCK3gueOfSJE_U_6QYXO-C","1161869847375479880","13.7552791","100.47250629999999","http://maps.google.com/maps/place?cid=1161869847375479880","","","","",""
"Green Heaven Dispensary","1/1 ปากซอยลาดพร้าว 128 ซอย เมแฟร์วิลล่า 2 พลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310","0622919636","ร้านขายกัญชาในกรุงเทพมหานคร","https://www.facebook.com/greenheavenofficial","4.9","78",""," วันพฤหัสบดี 11:00–21:00, วันศุกร์ 11:00–21:00, วันเสาร์ 11:00–21:00, วันอาทิตย์ 11:00–21:00, วันจันทร์ 11:00–21:00, วันอังคาร 11:00–21:00, วันพุธ<div>(วันปิยมหาราช)</div> 11:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","เกรดคุณภาพดี มีการให้คำแนะนำ และบริการลูกค้าอย่างเป็นกันเองมากครับบ","ได้รับ 5.0 จาก 5 ดาว,","บริการดีมากค่ะ พี่ๆน่ารักทุกครั้งที่ไป ❤️คุณภาพสินค้าสุดดดดดดดด","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศร้านดีมากครับ ที่ร้านเป็นกันเองทุกคน ให้ความรู้ดีครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","3852186228144755661","13.775559999999999","100.6278818","http://maps.google.com/maps/place?cid=3852186228144755661","","https://www.facebook.com/greenheavenofficial","","",""
"Youngweed420BKK ร้านกัญริมคลอง","215 4 ถ. สุโขทัย แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300","0865700784","ร้านขายกัญชาในกรุงเทพมหานคร","https://linktr.ee/youngweed420","4.9","102",""," วันพฤหัสบดี 10:00–21:00, วันศุกร์ 10:00–21:00, วันเสาร์ 14:00–21:00, วันอาทิตย์ ปิดทำการ, วันจันทร์ 10:00–21:00, วันอังคาร 10:00–21:00, วันพุธ<div>(วันปิยมหาราช)</div> 10:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","กลิ่นหอมดี ชอบมากครับ เมาจัดเลย พ่อค้าใจดีมากครับให้คำเเนะนำดีมากครับ🥰","ได้รับ 5.0 จาก 5 ดาว,","เจ้าของร้านแนะนำดีครับราคาจับต้องได้ ทางเข้าร้านบรรยากาศดีครับ","ได้รับ 5.0 จาก 5 ดาว,","น้องคนขายแนะนำดีมากครับ คุณจะได้รับสิ่งที่คุณควรได้รับจากที่นี่","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipO45QYD3VK0M-1WxgRgdRWKtDnAV9OpH39lcwUh","4713956731283473874","13.780397899999999","100.5159577","http://maps.google.com/maps/place?cid=4713956731283473874","","","","",""
