"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"High Town Cannabis & Grower Community ( ร้านกัญชาเชียงใหม่ cannabis shop )","8, 5 ซอยจำปี ตำบลสุเทพ เมือง เชียงใหม่ 50200","0931313938","ร้านขายกัญชาในเทศบาลนครเชียงใหม่","https://www.instagram.com/hightown_chiangmai/","5.0","188",""," วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์ เปิด 24 ชั่วโมง, วันจันทร์ เปิด 24 ชั่วโมง, วันอังคาร เปิด 24 ชั่วโมง, วันพุธ<div>(วันปิยมหาราช)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ร้านนี้ Private ดูอบอุ่น เจ้าของร้านแนะนำดี ใช้แต่ของดีดี เป็นกันเองมากๆครับ","ได้รับ 5.0 จาก 5 ดาว,","วิวดี บรรยากาศเหมาะกับสายเนื้อมากครับ","ได้รับ 5.0 จาก 5 ดาว,","นั้งฟังเพลงเพลินๆครับ ทางร้านบริการดีมาก🙏","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","2451694313430488050","18.7938965","98.9696809","http://maps.google.com/maps/place?cid=2451694313430488050","","","","",""
"ร้านกัญชาใกล้ฉันเชียงใหม่พร้อมส่ง","ซอย สันติธรรม ตำบลช้างเผือก อำเภอเมือง เชียงใหม่ 50100","0995292363","ร้านขายกัญชาในเทศบาลนครเชียงใหม่","","5.0","5",""," วันพฤหัสบดี 12:00–23:30, วันศุกร์ 12:00–23:30, วันเสาร์ 12:00–23:30, วันอาทิตย์ 12:00–23:30, วันจันทร์ 12:00–23:30, วันอังคาร 12:00–23:30, วันพุธ<div>(วันปิยมหาราช)</div> 12:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ตอนนี้เปลี่ยนเป็นร้านกาแฟเเล้วครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านเป็นที่นั่งต่อได้เลยนะเนี่ยย อย่างสุด","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/AF1QipMEt4hBTENFJjQhBj3n0Pw-us4gZjQmHX6j3QpO","10217667667478224849","18.803786","98.9817159","http://maps.google.com/maps/place?cid=10217667667478224849","","","","",""
"ร้านกัญชา กรีน เอเลเฟนท์ 420","371 ถนน มหิดล ตำบลวัดเกต อำเภอเมืองเชียงใหม่ เชียงใหม่ 50000","0947164564","ร้านขายกัญชาในเทศบาลนครเชียงใหม่","https://lin.ee/RS00ObQ","5.0","105",""," วันพฤหัสบดี 9:00–22:30, วันศุกร์ 9:00–22:30, วันเสาร์ 9:00–22:30, วันอาทิตย์ 14:30–22:30, วันจันทร์ 9:00–22:30, วันอังคาร 9:00–22:30, วันพุธ<div>(วันปิยมหาราช)</div> 9:00–22:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","พี่เจ้าของร้านใจดี เป็นกันเองมากครับ แนะนำดี สินค้าน่าซื้อมีคุณภาพครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านดูสะอาด เป็นที่สังเกตเห็นง่าย แม่ค้าบริการดี มีความรู้ในการมาเปิดร้าน","ได้รับ 5.0 จาก 5 ดาว,","การบริการดี แนะนำดีมากค่ะ มีตัวเลือกเยอะมากๆแนะนำร้านนี้เลยค่ะ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","7704048482600408336","18.758525","99.00846589999999","http://maps.google.com/maps/place?cid=7704048482600408336","","","","",""
"ร้านกัญชา WEED KA SIS (Cannabis Shop)","133/5 ถนน ราชภาคินัย ตำบลศรีภูมิ อำเภอเมืองเชียงใหม่ เชียงใหม่ 50200","0644726664","ร้านขายกัญชาในเทศบาลนครเชียงใหม่","https://lin.ee/b9Uykou","5.0","90",""," วันพฤหัสบดี 14:00–2:00, วันศุกร์ 14:00–2:00, วันเสาร์ 14:00–2:00, วันอาทิตย์ 14:00–0:00, วันจันทร์ 14:00–2:00, วันอังคาร 14:00–2:00, วันพุธ<div>(วันปิยมหาราช)</div> 14:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","มาชม.แวะร้านนี้ไม่ผิดหวัง เจ้าของน่ารักบริการดีมากกกกไก่ล้านตัว 🥰🥰🥰","ได้รับ 5.0 จาก 5 ดาว,","ตรงปกครับ ใบทิมหอมเมามากคับ ดีเลยแนะนำเลย พี่ที่ร้านคุยดีครับ ใจดีด้วย 👍👍","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศเป็นกันเอง คนขายสุภาพให้ความรู้ดีมากครับ👍","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipNgXQAvn_oUPGhaYuwUv-M3i_KiRQEgh7ImbHk8","15186727790899253092","18.7900371","98.9900474","http://maps.google.com/maps/place?cid=15186727790899253092","","","","",""
"GoGreen by Kanya - Jed Yod","159 54 ถนน เจ็ดยอด-อยู่เย็น ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300","","ร้านขายกัญชาในเทศบาลนครเชียงใหม่","https://gogreenbykanya.com/","4.8","14",""," วันพฤหัสบดี 11:00–21:00, วันศุกร์ 11:00–21:00, วันเสาร์ 11:00–21:00, วันอาทิตย์ 11:00–21:00, วันจันทร์ 11:00–21:00, วันอังคาร 11:00–21:00, วันพุธ<div>(วันปิยมหาราช)</div> 11:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","พนักงานบริการดีมากๆเลยครับ ร้านสะอาด ดอกคุณภาพดีมากๆ 🥰🥰","ได้รับ 5.0 จาก 5 ดาว,","เป็นกันเองมากครับ ร้านสะอาด ตกแต่งสวยงาม ดอกราคาถูก แนะนำเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/","14985038927825133162","18.8095664","98.9678259","http://maps.google.com/maps/place?cid=14985038927825133162","","","","",""
"The buds station (cannabis weed café) ร้านขายกัญชา","109 ถนน โพธาราม ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300","0968362819","ร้านขายกัญชาในเทศบาลนครเชียงใหม่","https://linktr.ee/thebudsstation","5.0","68",""," วันพฤหัสบดี 10:00–1:00, วันศุกร์ 10:00–1:00, วันเสาร์ 10:00–1:00, วันอาทิตย์ 10:00–1:00, วันจันทร์ 10:00–1:00, วันอังคาร 10:00–1:00, วันพุธ<div>(วันปิยมหาราช)</div> 10:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ต้องลองงครับ ของเขาดีจริงๆ ร้านสวย เจ้าของน่ารักมากกก เป็นกันเอง","ได้รับ 5.0 จาก 5 ดาว,","เพลินๆ มีเจ้าหน้าที่ดูแลคนเหลืองด้วย เติมแบบสบายกว่านี้ไม่มีอีกแล้ววววว🥦🥦🥺","ได้รับ 5.0 จาก 5 ดาว,","บริการดีมาก ชวนคุยให้ความรู้ต่างๆส่วนตัวคือชอบมากค้าบ💚","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipM2-3_ELQe6nKDVlGqwSJ4TI-tTsN7mirFBbjKD","13390953287104942333","18.8091141","98.9737466","http://maps.google.com/maps/place?cid=13390953287104942333","","","","",""
"Octagrams Cannabis Dispensary Shop CNX (ร้านกัญชาเชียงใหม่)","27 ช้างเผือก ซ. 2 ตำบลช้างเผือก เมือง เชียงใหม่ 50300","0959492529","ร้านขายกัญชาในเทศบาลนครเชียงใหม่","https://lin.ee/OajVeGW","5.0","540",""," วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 10:00–22:00, วันอาทิตย์ 10:00–22:00, วันจันทร์ 10:00–22:00, วันอังคาร 10:00–22:00, วันพุธ<div>(วันปิยมหาราช)</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","แวะมาคอมเม้นท์ให้ค่ะ ร้านแนะนำดีมาก มีของแถมด้วยน่ารักมากกกค่ะ","ได้รับ 5.0 จาก 5 ดาว,","มักครับผม ถูกใจสายเขียวมากครับ บริการดีเป็นกันเองดีครับ💚","ได้รับ 5.0 จาก 5 ดาว,","ร้านน่ารักมาก แถมมีหลายราคาให้เลือก เจ้าของร้านคือใส่ใจลูกค้าน่ารัก 😍😍","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","6244841533853227074","18.804599","98.9806404","http://maps.google.com/maps/place?cid=6244841533853227074","","","","",""
"Candy Weed จำหน่ายกัญชา เชียงใหม่","8, 5 ซอย ราชพฤกษ์ ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300","0815269355","ร้านขายกัญชาในเทศบาลนครเชียงใหม่","https://www.facebook.com/profile.php?id=61554845887583&mibextid=LQQJ4d","5.0","28",""," วันพฤหัสบดี 12:00–23:30, วันศุกร์ 12:00–23:30, วันเสาร์ 10:00–23:30, วันอาทิตย์ 10:30–23:30, วันจันทร์ 12:00–23:30, วันอังคาร 12:00–23:30, วันพุธ<div>(วันปิยมหาราช)</div> 12:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ร้านประจำสินค้าดี ทางร้านบริการดีใครมาร้านนี้รับรองไม่ผิดหวัง","ได้รับ 5.0 จาก 5 ดาว,","งานดีเจ้าของร้านก็ใจดีครัช","ได้รับ 5.0 จาก 5 ดาว,","ยกให้เป็นร้านประจำทุกครั้งที่มาเที่ยวเชียงใหม่ ของดีราคาถูกมีอยู่จริง","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOrGDbRMHqLJff5kReHCsdgKWgxNELlBqttwTF3","12858763014586836999","18.7986974","98.9751238","http://maps.google.com/maps/place?cid=12858763014586836999","","https://www.facebook.com/people/Candy-Weed/61554845887583/","","",""
"Cosmos Cannabis","ถนน เวียงบัว ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300","0826292115","ร้านขายกัญชาในเทศบาลนครเชียงใหม่","","5.0","41",""," วันพฤหัสบดี 11:00–23:30, วันศุกร์ 11:00–23:30, วันเสาร์ 11:00–23:30, วันอาทิตย์ 11:00–23:30, วันจันทร์ 11:00–23:30, วันอังคาร 11:00–23:30, วันพุธ<div>(วันปิยมหาราช)</div> 11:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ดูแลลูกค้าดี ให้คำแนะนำดีมากครับ","ได้รับ 5.0 จาก 5 ดาว,","สินค้าดี โอเคร แนะนำครับ","ได้รับ 5.0 จาก 5 ดาว,","แรงดีนะ ราคาสบายกระเป่า","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","18053739074471677177","18.805442199999998","98.98305889999999","http://maps.google.com/maps/place?cid=18053739074471677177","","","","",""
"Matez weed shop 大麻 กัญชา","18, 5 ถนน ราชดำเนิน ซอย 1 ตำบลศรีภูมิ อำเภอเมืองเชียงใหม่ เชียงใหม่ 50200","0988717469","ร้านขายกัญชาในเทศบาลนครเชียงใหม่","","4.9","144",""," วันพฤหัสบดี 9:00–0:00, วันศุกร์ 9:00–0:00, วันเสาร์ 9:00–0:00, วันอาทิตย์ 9:00–0:00, วันจันทร์ 9:00–0:00, วันอังคาร 9:00–0:00, วันพุธ<div>(วันปิยมหาราช)</div> 9:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ของคุณภาพดี พนักงานสุภาพ บริการดี","ได้รับ 5.0 จาก 5 ดาว,","สินค้าดี บรรยากาศกันเองครับผม","ได้รับ 5.0 จาก 5 ดาว,","ราคาดี ของคุณภาพดี เจ้าของร้านใจดี","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOnvZdnPD_p0HlfteD22nh1xX8DKNZ5B8kiIOV5","18293159887187824888","18.788880199999998","98.9924106","http://maps.google.com/maps/place?cid=18293159887187824888","","","","",""
