"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"Sweet & High Dispensary สวีท แอนด์ ไฮด์ ร้านขายกัญชาเชียงราย","880 3 ถนนพหลโยธิน ตำบล รอบเวียง อำเภอเมืองเชียงราย เชียงราย 57000","0805158888","ร้านขายกัญชาในเทศบาลนครเชียงราย","http://www.sweetandhigh420.com/","5.0","194",""," วันพุธ 10:00–23:00, วันพฤหัสบดี 10:00–23:00, วันศุกร์ 10:00–23:00, วันเสาร์ 10:00–23:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–23:00,","","Yes","No","No","No","No","มือใหม่สามารถสอบถามได้ครับ พี่ที่ร้านแนะนำดีมากก","ได้รับ 5.0 จาก 5 ดาว,","ของดีมีคุณภาพ เมาสุดๆ กลิ่นหอมๆ เกรดดีจัด","ได้รับ 5.0 จาก 5 ดาว,","ร้านสวยดีครับ พี่ๆเจ้าของร้านอัธยาศัยดีครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","5452133897987070480","19.9040993","99.8331429","http://maps.google.com/maps/place?cid=5452133897987070480","","","","",""
"ร้านขายกัญชา BBR'S Cannabis Shop.(Weeds & Cannabis Store)","297 บ้านร่องเสือเต้น 5 ริมกก ตำบลริมกก เมือง เชียงราย 57100","0946416165","ร้านขายกัญชาในเทศบาลนครเชียงราย","","5.0","7",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipO36l0aRAQcSn3ZltJBXVjBQtdoG7g_YULa_U2G","17213315829573609096","19.9244359","99.8417023","http://maps.google.com/maps/place?cid=17213315829573609096","","","","",""
"CHUM CHUM CANNABIS","เวียง 659/3 ถ อุตรกิจ ตำบลเวียง เมือง เชียงราย 57000","0940472338","ร้านขายกัญชาในเทศบาลนครเชียงราย","","5.0","26",""," วันพุธ 12:00–0:00, วันพฤหัสบดี 12:00–0:00, วันศุกร์ 12:00–0:00, วันเสาร์ 12:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:00–0:00,","","Yes","No","No","No","No","ร้านนี้บริการดีมากครับ สินค้าคุณภาพดี ราคาประทับจัย","ได้รับ 5.0 จาก 5 ดาว,","พี่เขาบริการดีมากๆครับ สินค้าก็ดี เป็นกันเองมากครับ","ได้รับ 5.0 จาก 5 ดาว,","จี50ที่แรงที่สุดในเชียงรายค้าบบ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","11752958140682738080","19.9105168","99.8358591","http://maps.google.com/maps/place?cid=11752958140682738080","","","","",""
"ร้านขายกัญชาบ้านดู่-เชียงราย Dekmebai420.SHOP","302 4 ตำบล บ้านดู่ เมือง เชียงราย 57100","0646261123","ร้านขายกัญชาในตำบล บ้านดู่","https://www.facebook.com/boloa.rastafari.7?mibextid=LQQJ4d","5.0","27",""," วันพุธ 12:00–23:30, วันพฤหัสบดี 12:00–23:30, วันศุกร์ 12:00–23:30, วันเสาร์ 12:00–23:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:00–23:30,","","Yes","No","No","No","No","ของดี ราคาถูก ตาเยิ้มกันเลยทีเดียว จะกลับไปใช้บริการอีกแน่นอนครับ","ได้รับ 5.0 จาก 5 ดาว,","ดีครับ เจ้าของร้านเป็นกันเองมากครับ ☺️☺️","ได้รับ 5.0 จาก 5 ดาว,","5ดาว ไปเลยครับ ดอกคุณภาพดีและถูกที่สุดในเชียงรายครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOi6MC6tsol0OgfkwsRVq3ZAHdBvVQowgMEjhZN","9955634105726586192","19.9724909","99.8486902","http://maps.google.com/maps/place?cid=9955634105726586192","","https://www.facebook.com/boloa.rastafari.7","","",""
"FOUR KING Cannabis weed Cafe&Shop บ้องแก้ว","392/2 ห้องA1 หมู่ที่13 ทางเข้าแอลเซนเตอร์พลาซ่า ลานเอ็ม ตำบล รอบเวียง เมื่อง เชียงราย 57000","0947064004","ร้านขายอุปกรณ์ปลูกกัญชาในเทศบาลนครเชียงราย","https://lin.ee/9DaEdVd","4.9","49",""," วันพุธ 14:00–0:00, วันพฤหัสบดี 14:00–0:00, วันศุกร์ 14:00–0:00, วันเสาร์ 14:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 14:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 14:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 14:00–0:00,","","Yes","No","No","No","No","กัญชาร้านนี้สุดจริง เกรดดีมาก กัญชาเชียงราย ร้านนี้เลยครับ เจ้าของเป็นกันเอง","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศดีมากครับ wifi ฟรี มีเพลงฟัง","ได้รับ 5.0 จาก 5 ดาว,","ราคาถูก บริการดีครับ ของดีจริง","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","1152477447727817526","19.8893624","99.8358738","http://maps.google.com/maps/place?cid=1152477447727817526","","","","",""
"420OO.ogshop","11 ถ. พหลโยธิน ตำบล เวียงพางคำ อำเภอแม่สาย เชียงราย 57130","0623107333","ร้านขายกัญชาในตำบล เวียงพางคำ","https://lin.ee/fJADuHk","5.0","23",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ของแรงจริงครับแม่สาย เหนือสุดในสยามของจริงครับต้องมาลอง","ได้รับ 5.0 จาก 5 ดาว,","ของดี ตาแตกเลยค้าบบบ ไม่ผิดหวังๆ","ได้รับ 5.0 จาก 5 ดาว,","เเรงได้ใจครับ เมาเเล้ว","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPc1ZBXXJIEYmTHj7CKjFZQdjSFRkMFl4NVgiIG","18116229553373826384","20.4327042","99.88491379999999","http://maps.google.com/maps/place?cid=18116229553373826384","","","","",""
"ร้านกัญชา Smile x Heaven บ้านดู่เมืองใหม่ เชียงราย","121 บ้านดู่ 525 ตำบล บ้านดู่ อำเภอเมืองเชียงราย เชียงราย 57100","0925622631","ร้านขายกัญชาในตำบล บ้านดู่","","5.0","12",""," วันพุธ 13:00–1:00, วันพฤหัสบดี 13:00–1:00, วันศุกร์ 13:00–1:00, วันเสาร์ 13:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 13:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 13:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 13:00–1:00,","","Yes","No","No","No","No","ร้านสะอาด อันนี้สำคัญสุด แล้วก็สว่าง สถานที่สบาย","ได้รับ 5.0 จาก 5 ดาว,","ร้านสะอาด ดูดี สบายอารมณ์","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/","12083522323043956852","19.976979500000002","99.86330099999999","http://maps.google.com/maps/place?cid=12083522323043956852","","","","",""
"ร้านกัญชาแม่สาย สนิทกัญ","รหัสไปรษณีย์57130 เลขที่ อยู่บ้าน(เกาะทราย 71 หมู่ที่ หมู่ที่ 7 ตรอก/ซอย ถนน แม่สาย อำเภอแม่สาย เชียงราย 57130","","ร้านขายกัญชาในแม่สาย","","5.0","3",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipOOgz4GOOyWFQdO1jTSsjxBHMJoekfa-KoVGBWi","13524484667293069818","20.4444718","99.8818811","http://maps.google.com/maps/place?cid=13524484667293069818","","","","",""
"O.p Cannabis","110 5 ถนนหนองบัว ตำบล รอบเวียง อำเภอเมืองเชียงราย เชียงราย 57000","0987897678","ร้านขายกัญชาในเทศบาลนครเชียงราย","https://www.facebook.com/OPPIZZACR?mibextid=ZbWKwL","5.0","68",""," วันพุธ 9:00–22:00, วันพฤหัสบดี 9:00–22:00, วันศุกร์ 9:00–22:00, วันเสาร์ 9:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–22:00,","","Yes","No","No","No","No","บอกเลยว่าดีย์ต่อใจ เจ้าของร้านน่ารัก Good job !!!","ได้รับ 5.0 จาก 5 ดาว,","บริการดีเป็นกันเองให้คำแนะนำได้ถูกต้อง (เหลืองที่ไม่ใช่สี🤣)","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี้เลยครับแนะนำ ตัวเมืองเชียงราย","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","12755160472014090725","19.899097599999997","99.8408152","http://maps.google.com/maps/place?cid=12755160472014090725","","https://www.facebook.com/OPPIZZACR","","",""
"GREENLINE CANNABIS DISPENSARY","The rich avenue (คาเฟ่อเมซอน สาขาหอนาฬิกา) ห้องในสุด 419 3 ถนน บรรพปราการ เมือง เชียงราย 57000","0815142659","ร้านขายกัญชาในเทศบาลนครเชียงราย","","4.9","21",""," วันพุธ 12:00–22:00, วันพฤหัสบดี 12:00–22:00, วันศุกร์ 12:00–22:00, วันเสาร์ 12:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร ปิดทำการ,","","Yes","No","No","No","No","ร้านสวยมากกกก พนักงานเป็นกันเอง ให้ความรู้ด้วย ดอกสวยแน่น กลิ่นดีมาก","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี้เป็นกันเอง เข้ามามีเเต่ความสุขครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านชิวมาก พนักงานบริการดี ให้ข้อมูลสินค้าได้ดี","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOPQ2Yevojtn2wj8-SzVdEAokdNJhggD5reHWcu","477067503246822576","19.9065437","99.8299993","http://maps.google.com/maps/place?cid=477067503246822576","","","","",""
