"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"ร้านขายกัญชาขอนแก่น Mike Dream Cannabis Cafe","125 ขก.1027 ตำบล ศิลา อำเภอเมืองขอนแก่น ขอนแก่น 40000","0628134519","ร้านสมุนไพรในเทศบาลนครขอนแก่น","https://www.facebook.com/profile.php?id=61553488521531&mibextid=9R9pXO","4.9","108",""," วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์ เปิด 24 ชั่วโมง, วันจันทร์ เปิด 24 ชั่วโมง, วันอังคาร เปิด 24 ชั่วโมง, วันพุธ<div>(วันปิยมหาราช)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ทางร้านบริการดีมากมีมุมให้นั่งชิว พนักงานน่ารักค่ะ","ได้รับ 5.0 จาก 5 ดาว,","ของดีราคาถูกหอมมอุปกรณ์มีให้เลือกครบครับมีหลายสายพันธุ์หลายเกรด","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี้เมาจัดครับลูกค้าเข้า24ชมผมเมาทุกวันแล้วที่นี้มีน้ำปั่นขายด้วยนะครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","13823735188721126599","16.476710999999998","102.85787599999999","http://maps.google.com/maps/place?cid=13823735188721126599","","https://www.facebook.com/images/fb_icon_325x325.png","","",""
"Khonkaen Weed กัญชา ขอนแก่น","ตำบล ศิลา อำเภอเมืองขอนแก่น ศิลา เมือง ขอนแก่น 40000","0616936397","ร้านขายกัญชาในเทศบาลนครขอนแก่น","https://www.facebook.com/profile.php?id=61555418485957","5.0","24",""," วันพฤหัสบดี 0:00–8:00, 10:00–0:00, วันศุกร์ 0:00–8:00, 10:00–0:00, วันเสาร์ 0:00–8:00, 10:00–0:00, วันอาทิตย์ 0:00–8:00, 10:00–0:00, วันจันทร์ 0:00–8:00, 10:00–0:00, วันอังคาร 0:00–8:00, 10:00–0:00, วันพุธ<div>(วันปิยมหาราช)</div> 0:00–8:00, 10:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","บริการดี คุณภาพดอกดี ราคาเป็นกันเองมากเลยค่า ประทับใจทุกครั้งที่ใช้","ได้รับ 5.0 จาก 5 ดาว,","ดอกสวยกลิ่นดีเรื่องความเมาไม่ต้องห่วง เมาแน่นอนครับ ราคาไม่แรงด้วย 💚🍃","ได้รับ 5.0 จาก 5 ดาว,","ลองมาชิมแล้วจะติดจาย 😋😋","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipO0kXY38ADmf4guoVRRS-2XDHsQqFAu5eht0vUw","16105992141410081529","16.480927599999998","102.8188426","http://maps.google.com/maps/place?cid=16105992141410081529","","https://www.facebook.com/people/Khonkaen-Weed-Cannabis-%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99/61555418485957/","","",""
"CANNA B Cannabis(แคนนาบี)","85 ห้าโรงน้ำแข็งศรีนวล ตำบลในเมือง เมือง ขอนแก่น 40000","0954799766","ร้านขายกัญชาในเทศบาลนครขอนแก่น","","5.0","33",""," วันพฤหัสบดี 11:00–0:00, วันศุกร์ 11:00–0:00, วันเสาร์ 10:00–0:00, วันอาทิตย์ 10:00–0:00, วันจันทร์ 11:00–0:00, วันอังคาร 11:00–0:00, วันพุธ<div>(วันปิยมหาราช)</div> 11:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","พ่อค้าใจดีมากครับ อาหารก็อร่อย บรรยากาศร้านเท่ห์ดี ต้องมาลอง","ได้รับ 5.0 จาก 5 ดาว,","ร้านราคาดีครับ ของคือคลีน พ่อค้าคือใจดีมากกันเองมากๆครับผระทับใจครับ","ได้รับ 5.0 จาก 5 ดาว,","อาหารอร่อย บริการดีมากๆ เป็นกันเองสุดๆค่าาา","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","5720714912245474459","16.421512300000003","102.837167","http://maps.google.com/maps/place?cid=5720714912245474459","","","","",""
"Say High (ร้านกัญชาขอนแก่น)","ศิลา 1234หมู่12 แคมปัสไลน์ ซ.อิงมอ.ต.ศิลา อ เมือง.จ.เลย แคมปัสไลน์ ซ. หลังมอ 9 อำเภอเมืองขอนแก่น ขอนแก่น 40000","0942937724","ร้านขายกัญชาในเทศบาลนครขอนแก่น","https://www.facebook.com/profile.php?id=100083690347261&mibextid=9R9pXO","5.0","44",""," วันพฤหัสบดี 10:30–2:00, วันศุกร์ 10:30–2:00, วันเสาร์ 10:30–2:00, วันอาทิตย์ 10:30–2:00, วันจันทร์ 10:00–2:00, วันอังคาร 10:30–2:00, วันพุธ<div>(วันปิยมหาราช)</div> 10:30–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","บรรยากาศชิลๆสบายๆเลยครับ เจ้าของร้านเป็นกันเองแนะนำดีพูดเพราะมากเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","ถ้าคุณคิดว่าคุณของจริง แปลว่ายังไม่เจอร้านนี้🫨","ได้รับ 5.0 จาก 5 ดาว,","ร้านสวย แอร์เย็น ทุกคนเป็นเองมาก","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPe2cq0aN5Yea8Dyt1ij5bA8eZasM2Pk5DztOHO","5044302821590139314","16.4840758","102.8149406","http://maps.google.com/maps/place?cid=5044302821590139314","","https://www.facebook.com/people/Say-High/100083690347261/","","",""
"ร้านบักเคา-THAI-กัญ","ตำบลสำราญ อำเภอเมืองขอนแก่น ขอนแก่น 40000","0950932032","ร้านขายกัญชาในตำบลสำราญ","","5.0","12",""," วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์ เปิด 24 ชั่วโมง, วันจันทร์ เปิด 24 ชั่วโมง, วันอังคาร เปิด 24 ชั่วโมง, วันพุธ<div>(วันปิยมหาราช)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","เขียว หอม อร่อย ต้องร้านนี้เลยค้าบบ💚 *บริการดีราคากันเอง💚","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศดีคับ นั่งเติมหลังร้านได้คับ เจ้าของร้านเป็นกันเอง ✌🏼","ได้รับ 5.0 จาก 5 ดาว,","ราคาไม่แพง มาตาแดงด้วยกันค้าบ 🥦🌝","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","12490959184617452519","16.536386600000004","102.830596","http://maps.google.com/maps/place?cid=12490959184617452519","","","","",""
"ร้านกัญชาใกล้ฉัน","209 11 667 ซอย หมู่บ้าน ตำบลบ้านเป็ด อำเภอเมืองขอนแก่น ขอนแก่น 40000","0648406928","ร้านขายกัญชาในเทศบาลนครขอนแก่น","https://www.facebook.com/profile.php?id=100080167976921&mibextid=LQQJ4d","5.0","6",""," วันพฤหัสบดี 10:00–0:00, วันศุกร์ 10:00–0:00, วันเสาร์ 10:00–0:00, วันอาทิตย์ 10:00–22:00, วันจันทร์ 10:00–0:00, วันอังคาร 10:00–0:00, วันพุธ<div>(วันปิยมหาราช)</div> 10:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ของดีเมาจัดต้องร้านนี้้เลยครับ","ได้รับ 5.0 จาก 5 ดาว,","เมาเกิ้นไฟเดียวลุกแทบไม่ขึ้น ราคาเลิฟเลย","ได้รับ 5.0 จาก 5 ดาว,","ไฟเดียววิ่งหาโซฟาเลยครับ55555","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMOn2TIzIkqyjAPq__7UedFVvo9EcISh61dJ2oD","6832065534025079248","16.4223308","102.7778287","http://maps.google.com/maps/place?cid=6832065534025079248","","https://www.facebook.com/people/%E0%B8%82%E0%B8%99%E0%B8%A1%E0%B8%A1%E0%B8%B4%E0%B8%AA%E0%B8%94%E0%B8%A3%E0%B8%B5%E0%B8%A1%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%99/100080167976921/","","",""
"HoneyPot Khonkaen","85/31 หมู่ 17 อำเภอเมืองขอนแก่น ขอนแก่น 40000","0809299935","ร้านขายกัญชาในเทศบาลนครขอนแก่น","https://www.facebook.com/profile.php?id=100091779821766&mibextid=ZbWKwL","5.0","35",""," วันพฤหัสบดี 11:00–0:00, วันศุกร์ 11:00–0:00, วันเสาร์ 11:00–0:00, วันอาทิตย์ 11:00–0:00, วันจันทร์ 11:00–0:00, วันอังคาร 11:00–0:00, วันพุธ<div>(วันปิยมหาราช)</div> 11:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","บริการดีมากครับคนขายน่ารักครับราคาไม่เเพง ดอกหอมชอบมากครับ","ได้รับ 5.0 จาก 5 ดาว,","พี่ๆบริการดีให้คำแนะนำดี พูดสุภาพ ดีมากเลยค่ะ","ได้รับ 5.0 จาก 5 ดาว,","เจ้าของร้านน่ารักม๊วกๆๆ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","16610497619416775825","16.4225304","102.82455759999999","http://maps.google.com/maps/place?cid=16610497619416775825","","https://www.facebook.com/people/HoneyPot-Khonkaen/100091779821766/?mibextid=ZbWKwL","","",""
"Monster Plant Dispensary","79 ถ.ศรีจันทร์ ต.ในเมือง เมือง อำเภอเมืองขอนแก่น ขอนแก่น 40000","0840322268","ร้านขายกัญชาในเทศบาลนครขอนแก่น","","4.9","12",""," วันพฤหัสบดี 12:00–0:00, วันศุกร์ 12:00–1:00, วันเสาร์ 12:00–1:00, วันอาทิตย์ 12:00–0:00, วันจันทร์ 12:00–0:00, วันอังคาร 12:00–0:00, วันพุธ<div>(วันปิยมหาราช)</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipOxbf0glR0TIN-2ZI3t4uyidg9MMoboRfnbPUpo","13600644437468298561","16.431862","102.8306178","http://maps.google.com/maps/place?cid=13600644437468298561","","","","",""
"ร้านกัญชาขอนแก่น Siam High Weed สยามไฮวีด (สาขาขอนแก่น)","FRR6+GFG ตำบล ศิลา อำเภอเมืองขอนแก่น ขอนแก่น 40000","","ร้านขายกัญชาในเทศบาลนครขอนแก่น","https://www.siamweeds.com/siam-high-weed/","5.0","1",""," วันพฤหัสบดี 12:30–21:00, วันศุกร์ 12:30–21:00, วันเสาร์ 12:30–21:00, วันอาทิตย์ 12:30–21:00, วันจันทร์ 12:30–21:00, วันอังคาร 12:30–21:00, วันพุธ<div>(วันปิยมหาราช)</div> 12:30–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","4789964159663562126","16.491319","102.81120539999999","http://maps.google.com/maps/place?cid=4789964159663562126","","","","",""
"เนื้อไร่ฟาร์ม","86/28 ถ, ซอย ขอนแก่นเหล่าไพศาล อำเภอเมืองขอนแก่น ขอนแก่น 40000","0643214031","ร้านขายกัญชาในตำบล พระลับ","","5.0","18",""," วันพฤหัสบดี 9:00–4:20, วันศุกร์ 9:00–4:20, วันเสาร์ 9:00–4:20, วันอาทิตย์ 9:00–4:20, วันจันทร์ 9:00–4:20, วันอังคาร 9:00–4:20, วันพุธ<div>(วันปิยมหาราช)</div> 9:00–4:20<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ร้านนี้เนื้อเมา ถูก เจ้าของร้านใจดี","ได้รับ 5.0 จาก 5 ดาว,","ของดีจริงราคาดีมีคุณภาพ✅️","ได้รับ 5.0 จาก 5 ดาว,","ร้านสะอาดเป็นกันเอง มีแอร์ฉ่ำๆๆเติมไม่มีเบื่อครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPm1emcM5Gt6C5G5KwcDzZdSwVAV4eUdb6Fj4a4","14315024136327456892","16.4120612","102.8550458","http://maps.google.com/maps/place?cid=14315024136327456892","","","","",""
