"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"คาเฟ่ เดอ กัญ","21 ซอย เพชรรัตน์ 3/3 ตำบลบางเขน อำเภอเมือง นนทบุรี 11000","0863090171","ร้านขายกัญชาในเทศบาลนครนนทบุรี","https://weed.th/shop/e9d53167-a48b-45b9-9b09-72518da01e54/nonthaburi/%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88-%E0%B9%80%E0%B8%94%E0%B8%AD-%E0%B8%81%E0%B8%B1%E0%B8%8D","5.0","12",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการในวันหยุด</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการในวันหยุด</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","16528226881999969443","13.8700523","100.5457367","http://maps.google.com/maps/place?cid=16528226881999969443","","","","",""
"ร้านกัญชาใกล้ฉัน","ตึกชมพู 18 ถ. ประชาชื่น แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800","0939831626","ร้านขายกัญชาในกรุงเทพมหานคร","https://line.me/ti/p/XigK1HJP0z","5.0","33",""," วันพุธ 6:00–1:00, วันพฤหัสบดี 6:00–1:00, วันศุกร์ 6:00–1:00, วันเสาร์ 6:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 6:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 6:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 6:00–1:00,","","Yes","No","No","No","No","ของดีมีคุณภาพราคาเข้าถึงง่ายพ่อค้าคนกันเองมากครับสนับสนุน","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี้เมาดีคับ งานดี","ได้รับ 5.0 จาก 5 ดาว,","ของเขาเมาจริง ถึงกับโดนใจผมเลย","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPXsooCgVk0EYIXxH4CKOaeBuGZOhgrcq9OvNQT","6075332205413656916","13.8174377","100.53582759999999","http://maps.google.com/maps/place?cid=6075332205413656916","","","","",""
"กัญชานนทบุรี The hight sweet v.2","บ้าน เลขที่ 230 ซ. หมู่บ้านศุภาลัยวิลล์ บางกระสอ อำเภอเมืองนนทบุรี นนทบุรี 11000","0917456734","ร้านขายกัญชาในเทศบาลนครนนทบุรี","","4.5","8",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ร้านแนะนำดีมากครับ พี่เจ้าของร้านใจดี เมาทุกตัวแน่นอนค้าบบ 🤩🔥","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี้พ่อค้าบริการดีเป็นกันเองครับของดีรับประกันความเมา✌️","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้่าใจดี เป็นกันเองดีคับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","4896927225687993249","13.8650615","100.51034","http://maps.google.com/maps/place?cid=4896927225687993249","","","","",""
"ร้านกัญชา High Cloud @ Ratchaphruek ราชพฤกษ์","70 2 ถ. ราชพฤกษ์ ตำบล บางรักน้อย อำเภอเมืองนนทบุรี นนทบุรี 11000","0990047144","ร้านขายกัญชาในตำบล บางรักน้อย","","5.0","60",""," วันพุธ 11:00–21:00, วันพฤหัสบดี ปิดทำการ, วันศุกร์ 11:00–21:00, วันเสาร์ 11:00–21:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 11:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 11:00–21:00,","","Yes","No","No","No","No","ร้านสะอาด คุณภาพดี พนักงานน่ารักมากแนะนำดี ใจดี ☺️🥬","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี้ของดีครับของถูกด้วยบอกต่อกันครับผม","ได้รับ 5.0 จาก 5 ดาว,","ให้บริการดี สินค้าคุณภาพ ราคากันเอง","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMmqEkDPEFU3rD0F-cJ31vau9IwU2oDOTrVK6ut","1577220079430856103","13.867966700000002","100.4514126","http://maps.google.com/maps/place?cid=1577220079430856103","","","","",""
"ร้านกัญชา Hello420 V2 cannabis","35 5 ตำบล หนองเพรางาย อำเภอไทรน้อย นนทบุรี 11150","0649506875","ร้านขายกัญชาในตำบล หนองเพรางาย","https://line.me/ti/p/_b4RETEVDa","5.0","5",""," วันพุธ 10:00–23:00, วันพฤหัสบดี 10:00–23:00, วันศุกร์ 10:00–23:00, วันเสาร์ 10:00–23:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–23:00,","ร้านจำหน่ายสมุนไพรควบคุม กัญชา🙏Hello 420 ยินดีต้อนรับ🙏💚Cannabis Shop💚(อยูู่ในลานเบียร์ Tk park ข้างๆเซ่เว่น)มีบริการจัดส่ง ดิลิเวอรี่🛵 แกร็ป ไลน์แมนจัดส่งทางไปรษณีย์ทั่วไทย EMS+50บาทมีงานหลายเกรดให้เลือกมากกว่า 30 สายพันธุ์🥦ทริม ดอก...แสดงเพิ่ม","Yes","No","No","No","No","ร้านสะอาด ราคาสบายกระเป๋า คนขายนิสัยดี","ได้รับ 5.0 จาก 5 ดาว,","ร้านสะอาด ราคาถูกจัด ชอบเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","ของถูกแล้วดีต้อง hello 420 รับประกันเมาแน่นอน","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","1916544855542577590","13.9101313","100.32326139999999","http://maps.google.com/maps/place?cid=1916544855542577590","","","","",""
"ร้านกัญชา High Cloud ปากเกร็ด Pak Kret","111 165 ตำบล ปากเกร็ด อำเภอปากเกร็ด นนทบุรี 11120","0924044787","ร้านขายกัญชาในเทศบาลนครปากเกร็ด","","5.0","217",""," วันพุธ 11:00–21:00, วันพฤหัสบดี 11:00–21:00, วันศุกร์ 11:00–21:00, วันเสาร์ 11:00–21:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 11:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 11:00–21:00,","","Yes","No","No","No","No","บรรยากาศดี พนักงานน่ารัก บริการดีเป็นกันเอง ชอบมากค่ะ แล้วจะไปอุดหนุนอีกนะคะ","ได้รับ 5.0 จาก 5 ดาว,","จุดสังเกตุของร้านค้อนข้างมองเห็นยากไปนิดนึง การบริการดีครับคนขายมีประสบการณ์ตรง","ได้รับ 5.0 จาก 5 ดาว,","เจ้าของร้านบริการดีครับ ร้านสะอาดแนะนำร้านนี้เลยครับ 🍃🍃🍃","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipO03P0HHsiZI09RacTupjYAM7MkgW0zoMC8h5Kv","527857599047681017","13.915142099999999","100.49773599999999","http://maps.google.com/maps/place?cid=527857599047681017","","","","",""
"ร้านกัญชาStardust","50/3ห้องที่2 อำเภอปากเกร็ด นนทบุรี 11120","0936096909","ร้านขายกัญชาในตำบล ท่าอิฐ","https://lin.ee/HngCzL2","5.0","18",""," วันพุธ 12:00–0:30, วันพฤหัสบดี 12:00–0:30, วันศุกร์ 12:00–0:30, วันเสาร์ 12:00–0:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–0:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–0:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:30–0:30,","","Yes","No","No","No","No","ผมซื้อ Oreo king มาลองตามที่พี่แนะนำ ความรู้ดีมากเลยครับ เพลินๆ ไม่แรงมาก","ได้รับ 5.0 จาก 5 ดาว,","ของมีคุณภาพครับ เจ้าของร้านเป็นกันเอง","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้าใจดีสินค้าก็ดีมาเลยครับถ้ามาไม่ผิดหวังครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","698343312350899831","13.893387400000002","100.4640327","http://maps.google.com/maps/place?cid=698343312350899831","","","","",""
"POCKET WEED(กัญชาดีเริ่มต้น 20 บาท)","60 109 หมู่ 3 ซอย หมู่บ้านพฤกษา 14 เอ ตำบล บางคูรัด อำเภอบางบัวทอง นนทบุรี 11110","0648811967","ร้านขายกัญชาในตำบล บางคูรัด","https://www.facebook.com/POCKETWEED420?mibextid=ZbWKwL","5.0","12",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","งานดีมีคุณภาพ ราคาเบาๆ ส่งถึงที่บริการดีมากคับ🥰","ได้รับ 5.0 จาก 5 ดาว,","มาแล้วครับ ของดีครับผม มาไม่ผิดหวัง","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/AF1QipOygpqg9ckLexq4k2LctfvyWDGc0hHRjh2yJgFP","4800319079390452223","13.907017999999999","100.36275160000001","http://maps.google.com/maps/place?cid=4800319079390452223","","https://www.facebook.com/?wbltns","","",""
"345 Cannabis Dispensary-Delivery Weed กัญชา","56/49 ชวนชื่นทาวน์ ราชพฤกษ์-345 ถนน 345 ตำบล ลำโพ อำเภอบางบัวทอง นนทบุรี 11110","0825766996","ร้านขายกัญชาในตำบล ลำโพ","https://line.me/ti/p/NHMS9php-G","4.9","31",""," วันพุธ 6:00–0:00, วันพฤหัสบดี 6:00–0:00, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 6:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 6:00–0:00,","","Yes","No","No","No","No","ของดีครับ รับประกันครับ เจ้าของใจดี ชอบมากครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี่ดีครับ พี่เขากันเองแนะนำดี 😁💕","ได้รับ 5.0 จาก 5 ดาว,","ร้านบริการดีมากครับ ตอบแชทเร็วมากครับผม ไว้จะกลับมาอุดหนุนใหม่อีกนะครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","3769865780041107988","13.950420999999999","100.4419458","http://maps.google.com/maps/place?cid=3769865780041107988","","","","",""
"SomTui Shop สาขาซอยเรวดี5","123 ซอย เรวดี 5 ตำบลตลาดขวัญ เมือง นนทบุรี 11000","0920271605","ร้านขายกัญชาในเทศบาลนครนนทบุรี","https://lin.ee/N56Pqaa","5.0","40",""," วันพุธ 10:00–0:00, วันพฤหัสบดี 10:00–0:00, วันศุกร์ 10:00–0:00, วันเสาร์ 10:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–0:00,","","Yes","No","No","No","No","ร้านดี บริการดีคฝ สินค้ามีคุณภาพ ราคาเพื่อนกัญของแทร่","ได้รับ 5.0 จาก 5 ดาว,","เนื้อเทามากครับ โปรโมชั่นเยอะ","ได้รับ 5.0 จาก 5 ดาว,","เจ้าของเป็นกันเองมากเลยค้า กัญชาคุณภาพดี ราคาประหยัด 💚💚💚","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipNNc2oN2-EQMkgArFQDi_QemwGOLzax3s8U9H1f","16753296162579547204","13.8543866","100.51562009999999","http://maps.google.com/maps/place?cid=16753296162579547204","","","","",""
