"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"สุนทรี สุนทรี","187/1 เมือง นครปฐม 73000","0851877031","ร้านขายกัญชาในเทศบาลนครนครปฐม","","5.0","11",""," วันพุธ 12:00–0:00, วันพฤหัสบดี 12:00–0:00, วันศุกร์ 12:00–0:00, วันเสาร์ 12:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:00–0:00,","","Yes","No","No","No","No","บรรยากาศเป็นกันเอง สบายๆ ราคาย่ิอมเยาวมากครับ","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศดี มีร่มไม้ นั่งชิว","ได้รับ 5.0 จาก 5 ดาว,","ที่ร้านเป็นกันเอง มีที่ให้นั่งผ่อนคลาย สินค้ามีคุณภาพ ครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","16701183737406905435","13.8076595","100.04277409999999","http://maps.google.com/maps/place?cid=16701183737406905435","","","","",""
"ร้านกัญเอง","1/4-5 อำเภอเมืองนครปฐม นครปฐม 73000","0803740852","ร้านขายกัญชาในเทศบาลนครนครปฐม","","5.0","16",""," วันพุธ 17:30–3:00, วันพฤหัสบดี 17:30–3:00, วันศุกร์ 17:30–3:00, วันเสาร์ 17:30–3:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 17:30–3:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 17:30–3:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 17:30–3:00,","","Yes","No","No","No","No","OG คุณภาพดีมากครับ บรรยากาศดีสุดๆ","ได้รับ 5.0 จาก 5 ดาว,","พี่ๆที่ร้านเป็นกันเองสุด บริการทุกระดับประทับใจ","ได้รับ 5.0 จาก 5 ดาว,","บริการดี ทุกอย่างโอเคหมดชอบร้านนี้ 🫰🏻🤍","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOxoN6-rYEWTSwDeq3MSy2-vNy545JCyHfs54-p","12260687651032347548","13.812775499999999","100.04583799999999","http://maps.google.com/maps/place?cid=12260687651032347548","","","","",""
"ร้านขายกัญชา High Cloud พุทธมณฑลสาย 4","ร้านขายกัญชา High Cloud สาขา เลขที่ 170 ถ. พุทธมณฑลสาย 4 ตำบล กระทุ่มล้ม อำเภอสามพราน นครปฐม 73220","0929879154","ร้านขายกัญชาในตำบล กระทุ่มล้ม","https://lin.ee/9MIYgOk","5.0","277",""," วันพุธ 10:30–20:30, วันพฤหัสบดี 10:30–20:30, วันศุกร์ 10:30–20:30, วันเสาร์ 10:30–20:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:30–20:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:30–20:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:30–20:30,","","Yes","No","No","No","No","ร้านนี้ดีจริงครับคนขายใจดีครับสินค้าก็ราคาไม่แพงด้วยครับผมใช้บริการ3รอบแล้วครับ","ได้รับ 5.0 จาก 5 ดาว,","กลิ่นหอมมากเลย พ่อค้าน่ารักเป็นกันเองมากก แวะมาอุดหนุนใหม่นะค่ะ","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี้ร้านดีครับ ดูเเลลูกค้าดี มาลองกันได้ครับ เนื้อเมา ความเมาเต็ม💯💯","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","18325394195888951974","13.743157199999999","100.3290236","http://maps.google.com/maps/place?cid=18325394195888951974","","","","",""
"BB​ CANNABIS​ กัญชา ศาลายา @ตลาดทวีทรัพย์ 24hr. 大麻","R73H+J67 ตำบล มหาสวัสดิ์ อำเภอพุทธมณฑล นครปฐม 73170","0949300888","ร้านขายกัญชาในตำบล มหาสวัสดิ์","https://lin.ee/0nHRCX6","5.0","190",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","พี่คนขายใจดีเป็นกันเองมากครับ ให้คำแนะนำมาหลายอย่างเลย ร้านดีด้วยครับ👍🏻","ได้รับ 5.0 จาก 5 ดาว,","อร่อยทุกดอกเลยครับ ของดีมีคุณภาพ เจ้าของร้านแนะนำดีสุดๆไปเลยครับ ❤️","ได้รับ 5.0 จาก 5 ดาว,","ร้านสะอาด บริการดี ดอกไม้งานดีทุกตัวครับ แนะนำเลยร้านใหม่ศาลายา","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOU-PmRlEKJEjgO-4jc09dblGRZTz-exUcZ5Wr6","10292266698298604030","","","http://maps.google.com/maps/place?cid=10292266698298604030","","","","",""
"M OG สาขา ม.ศิลปากร","R27W+W5 R27W+W5F อำเภอเมืองนครปฐม นครปฐม","0827097789","ร้านขายกัญชาในเทศบาลนครนครปฐม","https://www.facebook.com/61563448661621","5.0","8",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","บริการดีมากครับ มาตอนเช้าไม่คิดว่าจะมีร้านเปิด มีที่นั่งเล่นด้วย ,,😍","ได้รับ 5.0 จาก 5 ดาว,","ให้เบอร์1เรื่องกัญชา ของแท้ โหด เมา สุด","ได้รับ 5.0 จาก 5 ดาว,","บริการดีมากครับ อยากให้10 ดาว","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","3179014144222963259","13.814812499999999","100.04543749999999","http://maps.google.com/maps/place?cid=3179014144222963259","","https://www.facebook.com/people/M-OG-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2-%E0%B8%A1%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%A3/61563448661621/","","",""
"ใหญ่กัญชา","159 ซอย หมู่บ้านปฐมเพชร ตำบลสนามจันทร์ อำเภอเมืองนครปฐม นครปฐม 73000","0626563529","ร้านขายอุปกรณ์ปลูกกัญชาในเทศบาลนครนครปฐม","","5.0","31",""," วันพุธ 8:00–19:00, วันพฤหัสบดี 8:00–19:00, วันศุกร์ 8:00–19:00, วันเสาร์ 8:00–19:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:00–19:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 8:00–19:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 8:00–19:00,","","Yes","No","No","No","No","งานดีมีคุณภาพบริการเป็นกันเองมากครับ #เหลืองที่ไม่ได้แปลว่าสี🤣😁🤣","ได้รับ 5.0 จาก 5 ดาว,","แวะมานั่งเล่นนั่งชิวได้คับเจ้าของร้านใจดีกัญเองสุดๆราคาก็ถูกคับ 🤙💚😵‍💫","ได้รับ 5.0 จาก 5 ดาว,","เจ้าของร้านใจดีสุดๆครับลูกค้าใหม่เป็นกัญเองมากๆ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOXxaTy0QA5vXNGWeWfLF_nnww2lGvDnBkEzOse","7249571017647084345","13.804516","100.05597","http://maps.google.com/maps/place?cid=7249571017647084345","","","","",""
"Shop farm high","200 ถ.เพชรเกษม ตำบลพระประโทน อำเภอเมืองนครปฐม นครปฐม 73000","0614124249","ร้านขายกัญชาในเทศบาลนครนครปฐม","","5.0","1",""," วันพุธ 10:00–19:00, วันพฤหัสบดี 10:00–19:00, วันศุกร์ 10:00–19:00, วันเสาร์ 10:00–19:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> ปิดทำการ, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–19:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–19:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","4645238691971753871","13.8148921","100.0937486","http://maps.google.com/maps/place?cid=4645238691971753871","","","","",""
"DUDE SPACE","231 ถ. ทรงพล ต.ลำพยา อ.เมือง นครปฐม 73000","0992505565","ร้านขายกัญชาในเทศบาลนครนครปฐม","","5.0","1",""," วันพุธ 8:00–3:00, วันพฤหัสบดี 8:00–1:00, วันศุกร์ 8:00–1:00, วันเสาร์ 8:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 8:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 8:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 8:00–1:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipNEKEoyEB-JUtKWsR9POQH18hTY6lXf9PEUf6n1","17678319558773724522","13.8106954","100.03629389999999","http://maps.google.com/maps/place?cid=17678319558773724522","","","","",""
"ร้านขายกัญชา Queen Cannabis สามพราน","28 10 ตำบล ท่าตลาด อำเภอสามพราน นครปฐม 73110","0909948868","ร้านของเล่นและงานอดิเรกในตำบล ท่าตลาด","","4.9","74",""," วันพุธ 12:00–0:00, วันพฤหัสบดี 12:00–0:00, วันศุกร์ 12:00–0:00, วันเสาร์ 12:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:00–0:00,","","Yes","No","No","No","No","บริการดีเป็นกันเองนั่งชิวมากครับแนะนำเลยย่านสามพราน very good ชิวทุกดอก","ได้รับ 5.0 จาก 5 ดาว,","ดีกลิ่นหอม ราคากันเอง มาลองที่นี่กันนะคะ","ได้รับ 5.0 จาก 5 ดาว,","ร้านสะอาด แนะนำสินค้าได้ดี สินค้ามีคุณภาพ ชอบเลยครับร้านนี้","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","4939994070234349277","13.7407393","100.2150788","http://maps.google.com/maps/place?cid=4939994070234349277","","","","",""
"Bugs CannabisFarm","33 ตรอก ทหารบก ซอย 3 ตำบลบ่อพลับ อ.เมือง นครปฐม 73000","0930890354","ร้านขายกัญชาในเทศบาลนครนครปฐม","","5.0","1",""," วันพุธ 9:00–0:00, วันพฤหัสบดี 9:00–0:00, วันศุกร์ 9:00–0:00, วันเสาร์ 9:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–0:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipNgl8JjyrT1-yIzHY5Zth-YL0FXKkRElv5OafsH","12544428459790358050","13.825834700000001","100.06420349999999","http://maps.google.com/maps/place?cid=12544428459790358050","","","","",""
