"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"HOuSe Of CaNnaBis","1951 12 ถ. สืบศิริ ตำบลในเมือง อำเภอเมืองนครราชสีมา นครราชสีมา 30000","","ร้านขายกัญชาในเทศบาลนครนครราชสีมา","https://www.facebook.com/HOCkorat?mibextid=ZbWKwL","5.0","145",""," วันพุธ 16:20–0:00, วันพฤหัสบดี 16:20–0:00, วันศุกร์ 16:20–0:00, วันเสาร์ 16:20–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 16:20–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> ปิดทำการ, วันอังคาร 16:20–0:00,","","Yes","No","No","No","No","ทางร้านแนะนำดีมากเลยครับ 🫡💚 คุยสนุกครับ กล้วยอร่อยด้วยครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านสวยค่ะ เนื้อมีให้เลือกหลายแบบ เจ้าของร้านเป็นกันเอง🍀","ได้รับ 5.0 จาก 5 ดาว,","บริการดี ของคุณภาพดีครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","16101136383832284599","14.952857600000002","102.0658735","http://maps.google.com/maps/place?cid=16101136383832284599","","https://www.facebook.com/HOCkorat","","",""
"ร้านกัญชา High Cloud โคราช (Korat)","568 570 ถนน ราชดำเนิน ตำบลในเมือง อำเภอเมือง นครราชสีมา 30000","0980364999","ร้านขายกัญชาในเทศบาลนครนครราชสีมา","https://lin.ee/5VolQ0w","5.0","333",""," วันพุธ 9:00–22:00, วันพฤหัสบดี 9:00–22:00, วันศุกร์ 9:00–22:00, วันเสาร์ 9:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–22:00,","","Yes","No","No","No","No","บริการดี ของมีคุณภาพ ราคาจับต้องได้ครับผม พี่เจ้าของร้านแนะนำดีมากครับ 🙏🏻💐😍","ได้รับ 5.0 จาก 5 ดาว,","มาซ้ำรอบที่สองแล้วค่ะ พี่คนขายเป็นกันเองน่ารักมากให้คำแนะนำดีมากค่ะ","ได้รับ 5.0 จาก 5 ดาว,","ของดีได้มาตรฐานครับราคาดีครับใครผ่านโคราชาหม้าผาดสายเขียว","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipN_-b0HGGH_mLxf1w39hWc7XPQBU5BjYXC1TYYq","5031854120930795670","14.9761262","102.09766700000002","http://maps.google.com/maps/place?cid=5031854120930795670","","","","",""
"BLUE","19 3 ตำบลในเมือง เมือง นครราชสีมา 30000","0985838565","ร้านขายกัญชาในเทศบาลนครนครราชสีมา","https://www.facebook.com/profile.php?id=61553224263118","5.0","25",""," วันพุธ 9:00–1:00, วันพฤหัสบดี 9:00–1:00, วันศุกร์ 9:00–1:00, วันเสาร์ 9:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–1:00,","","Yes","No","No","No","No","พี่พนักงานน่ารักแนะนำดีมาก","ได้รับ 5.0 จาก 5 ดาว,","เนื้อหอม ราคากันเอง พ่อค้านิสัยดี","ได้รับ 5.0 จาก 5 ดาว,","คนกดหล่อคับเอาไป5ดาว","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","13999494762580231171","14.975117500000001","102.090794","http://maps.google.com/maps/place?cid=13999494762580231171","","https://www.facebook.com/Blueclub1993","","",""
"สักกำบ๋อ - Cannabis store","181 แยกบ้านสวนเกาะทิพย์ บ้านเกาะ 61 ม.2 ตำบล หมื่นไวย อำเภอเมืองนครราชสีมา นครราชสีมา 30000","","ร้านขายกัญชาในตำบล หมื่นไวย","https://www.facebook.com/profile.php?id=61561810032681&mibextid=LQQJ4d","5.0","2",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipNZQpEuDovyqo1fxSNySJ_Lt-E5R6TOlHQwG3Al","11536734849181248477","14.998767099999997","102.12091799999999","http://maps.google.com/maps/place?cid=11536734849181248477","","https://www.facebook.com/people/%E0%B8%AA%E0%B8%B1%E0%B8%81%E0%B8%81%E0%B8%B3%E0%B8%9A%E0%B9%8B%E0%B8%AD/61561810032681/","","",""
"STONER WEED.","584 ถนน ราชดำเนิน ตำบลในเมือง เมือง นครราชสีมา 30000","0985838565","ร้านขายกัญชาในเทศบาลนครนครราชสีมา","https://page.line.me/stonerweed","5.0","277",""," วันพุธ 7:00–3:00, วันพฤหัสบดี 7:00–3:00, วันศุกร์ 7:00–3:00, วันเสาร์ 7:00–3:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 7:00–3:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 7:00–3:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 7:00–3:00,","","Yes","No","No","No","No","พี่ๆบริการดีมากครับ เป็นกันเองสุดๆ แนะนำดีมากๆ งาน เขียว เหนียว หอม เต็มๆครับ 😁","ได้รับ 5.0 จาก 5 ดาว,","พี่คนขายน่ารักมากเลยครับ อธิบายทุกอย่างที่ถาม แนะนำดีครับ","ได้รับ 5.0 จาก 5 ดาว,","ราคาคุ้มค่าของดีเกรดคุณภาพ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","9699686336277063619","14.975876300000001","102.0977127","http://maps.google.com/maps/place?cid=9699686336277063619","","","","",""
"HIGH AGAIN CANNABIS CAFE (WEED&KRATOM) DISPENSARY KORAT ร้านขายกัญชา,น้ำกระท่อม","152 ถนน ไชยณรงค์ ในเมือง เมือง นครราชสีมา 30000","0623093730","ร้านขายกัญชา","https://liff.line.me/1645278921-kWRPP32q/?accountId=141ekmgv","5.0","87",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการในวันหยุด</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการในวันหยุด</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","ไฮอะเกน เราเป็นร้านกัญชาและกระท่อมอยู่ในเมืองโคราช และภูมิใจที่ได้เป็นสถานที่ที่คนในพื้นที่ชอบมาพบปะเพื่อนฝูง ใกล้ร้านเรามีโรงภาพยนตร์ หรือจะแวะซื้อกุ้งไปชิลมื้อค่ำ ส่วนทางร้านของเรามีกัญชาหลากหลายกลิ่นหลายรสชาติ หลายสายพันธุ์ ทั้ง...แสดงเพิ่ม","Yes","No","No","No","No","บรรยากาศดี นั่งฟังเพลงชิวๆ เป็นกันเองมากๆครับ","ได้รับ 5.0 จาก 5 ดาว,","ของดีบอกต่อครับร้านนี้เด็ดจริงครับคัดของดีๆมาให้ลูกค้าทุดรอบครับ","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศชิวสบายๆ บริการดุจญาติมิตร","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMpZDu-bCWz8Qa8vn2unbPGdLue0sWE3Y1i3U_p","16553489767250490574","14.967310799999998","102.10605919999999","http://maps.google.com/maps/place?cid=16553489767250490574","","","","",""
"ร้านกัญชา TestOG มทส.ประตู4","630 ตำบล สุรนารี อำเภอเมืองนครราชสีมา นครราชสีมา 30000","0807268176","ร้านขายกัญชาในตำบล สุรนารี","https://www.facebook.com/share/cdc7sY6Dauk5Q8oX/?mibextid=LQQJ4d","4.8","16",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการในวันหยุด</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการในวันหยุด</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","แนะนำเลยครับร้านนี้ดีมากบรรยากาศก็ดีราคาก็กันเอง","ได้รับ 5.0 จาก 5 ดาว,","ชอบร้านนี้ ราคาถูกบรรยากาศในร้านดีนั่งชิวๆมีเพลงฟัง","ได้รับ 4.0 จาก 5 ดาว,","แนะนำร้านนี้เลยค่ะ บริการดี บรรยากาศดีสุดๆ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","11426842929188371899","14.909493099999999","102.0120785","http://maps.google.com/maps/place?cid=11426842929188371899","","https://www.facebook.com/people/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B9%83%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%89%E0%B8%B1%E0%B8%99TestOg%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%8A/61565029135867/","","",""
"กัญชาปากช่อง by HAZE.KK","148 หมู่บ้าน 1 ซอย ร่วมมิตรพัฒนา อำเภอปากช่อง นครราชสีมา 30130","0640655906","ร้านขายกัญชา","https://www.facebook.com/profile.php?id=61557125799587&mibextid=ZbWKwL","5.0","47",""," วันพุธ 11:30–21:30, วันพฤหัสบดี 11:30–21:30, วันศุกร์ 11:30–21:30, วันเสาร์ 11:30–21:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> ปิดทำการ, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 11:30–21:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 11:30–21:30,","","Yes","No","No","No","No","ของดีเมืองปากช่อง บรรยากาศชิวๆ เจ้าของร้านเป็นกันเอง ราคาถูกมากๆ","ได้รับ 5.0 จาก 5 ดาว,","คนขายพูดเพราะ ราคากันเองครับผมร้านนี้แนะนำครับ","ได้รับ 5.0 จาก 5 ดาว,","ของในร้านดีทุกตัวคับพ่อค่าเป็นกันเองสุดๆคับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMcO7t1s44kppg2AHw5Phfp_FIceFAeL8U1Cd-g","10440767756311498189","14.699856899999999","101.4224119","http://maps.google.com/maps/place?cid=10440767756311498189","","https://www.facebook.com/people/HazekkV2/61557125799587/","","",""
"กัญชาปากช่อง Haze kk เขาใหญ่","285 หนองน้ำแดง อำเภอปากช่อง นครราชสีมา 30320","0935464516","ร้านขายกัญชาในหนองน้ำแดง","","5.0","12",""," วันพุธ 11:00–23:30, วันพฤหัสบดี 11:00–23:30, วันศุกร์ 11:00–23:30, วันเสาร์ 11:00–23:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 15:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 11:00–23:30,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","7524792074513802645","14.638041600000001","101.40941869999999","http://maps.google.com/maps/place?cid=7524792074513802645","","","","",""
"คุณทอง-Cannabis v2","415 หมู่10 อำเภอพิมาย นครราชสีมา 30110","0634989168","ร้านขายกัญชาในตำบล ในเมือง","","5.0","2",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipMP0giWmQ2F73kr7mEOjQK5lAtKhw4JcPY679aN","13132917973020712884","15.219975699999999","102.4952897","http://maps.google.com/maps/place?cid=13132917973020712884","","","","",""
"CNBThaLemon","47 4 ตำบล หนองสาหร่าย อำเภอปากช่อง นครราชสีมา 30130","0898255176","ร้านขายกัญชาในอำเภอปากช่อง","https://www.facebook.com/CNBThalemon","5.0","22",""," วันพุธ 8:00–23:00, วันพฤหัสบดี 8:00–23:00, วันศุกร์ 8:00–23:00, วันเสาร์ 8:00–23:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 8:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 8:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 8:00–23:00,","","Yes","No","No","No","No","เนื้อเมา คุณภาพดี บริการดีมาครับบ","ได้รับ 5.0 จาก 5 ดาว,","ใคร ชอบบรรยากาศ รับลม ยามเย็น ต้องที่นี้ เลยคับ ..","ได้รับ 5.0 จาก 5 ดาว,","🍁เจ้าของร้านเหงาไปนั่งเป็นเพื่อนเค้าได้","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","14575636655337896094","14.7430797","101.43474619999999","http://maps.google.com/maps/place?cid=14575636655337896094","","","","",""
"สโตร์กัญ by.nutty สาขาสระครก","900 อรพื้ม ซ. 9 ตำบล จอหอ อำเภอเมืองนครราชสีมา นครราชสีมา 30310","0624633463","ร้านขายกัญชาในตำบล จอหอ","","5.0","1",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipNXIWpQ8788xsPassjQNzwTZhrmrAHw9IwWkgBC","9182401916210198980","15.034815100000001","102.1315372","http://maps.google.com/maps/place?cid=9182401916210198980","","","","",""
"Candyz หนองปรือ","2 ตำบล โพธิ์กลาง อำเภอเมืองนครราชสีมา นครราชสีมา 30000","","ร้านขายกัญชาในตำบล โพธิ์กลาง","https://lin.ee/n1dNPRm","5.0","167",""," วันพุธ 10:00–22:00, วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 10:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–22:00,","","Yes","No","No","No","No","ของดีบาร์เทนเนอร์ร้านนี้ดีครับพนักงานดูแลได้อย่างดีติดใจตั้งแต่วันแรกที่เข้ามา","ได้รับ 5.0 จาก 5 ดาว,","ตัวไหนก็เมาครับไม่ต้องเลือกมาก... ขนาดคนขายยังเหลือง คนซื้อจะไปเหลืออะไร!!!!","ได้รับ 5.0 จาก 5 ดาว,","บริการทุกระดับประทับใจ งานดอกใบทริมคุณภาพแนะนำเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","17069707154495143640","14.943954000000002","102.1041867","http://maps.google.com/maps/place?cid=17069707154495143640","","","","",""
