"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"Khanom Cannabis","5V64+4PH อำเภอ ขนอม นครศรีธรรมราช 80210","0649540330","ร้านขายกัญชาในเทศบาลตำบลอ่าวขนอม","","5.0","26",""," วันพุธ 8:00–23:00, วันพฤหัสบดี 8:00–23:00, วันศุกร์ 8:00–23:00, วันเสาร์ 8:00–23:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 8:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 8:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 8:00–23:00,","","Yes","No","No","No","No","สินค้าคุณภาพดี ราคาจับต้องได้ เจ้าของร้านใจดีครับ 💯💯","ได้รับ 5.0 จาก 5 ดาว,","ราคากันเอง พ่อค้าแม่ค้าน่ารัก ที่นั่งสบาย เป็นกันเองมาก💕","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้าใจดีมากๆครับ บริการดี เป็นกันเอง มีโอกาสกลับมาซ้ำอีกแน่นอนครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","17625111603440905511","9.1610099","99.8568643","http://maps.google.com/maps/place?cid=17625111603440905511","","","","",""
"Calm. Cannabis Shop (ร้านขายกัญชา)","81 ถนน ศรีธรรมโศก ตำบล ในเมือง อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000","0959278954","ร้านขายกัญชาในเทศบาลนครนครศรีธรรมราช","","5.0","6",""," วันพุธ 8:00–17:30, วันพฤหัสบดี 8:00–17:30, วันศุกร์ 8:00–17:30, วันเสาร์ 8:00–17:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 8:00–17:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> ปิดทำการ, วันอังคาร 8:00–17:30,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipM8j_oZAVASIsdZ_cLBlyhnFoKQw9vTcfbGo4Lb","12762575294474212499","8.4126251","99.9684338","http://maps.google.com/maps/place?cid=12762575294474212499","","","","",""
"Laugh Tale By Chumni","72 9 ตำบล ชะมาย อำเภอทุ่งสง นครศรีธรรมราช 80110","0629644091","ร้านขายกัญชาในตำบล ชะมาย","https://lin.ee/YTXR5qk","4.8","16",""," วันพุธ 8:30–17:30, วันพฤหัสบดี 8:30–17:30, วันศุกร์ 8:30–17:30, วันเสาร์ 8:30–17:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 8:30–17:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> ปิดทำการ, วันอังคาร 8:30–17:30,","","Yes","No","No","No","No","บริการดีเป็นกันเองมากๆค่ะ","ได้รับ 5.0 จาก 5 ดาว,","เจ้าของร้านน่ารักมาก อะ 😍","ได้รับ 5.0 จาก 5 ดาว,","งานดี ฟีลดี ราคาโดนใจ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","13949755328918537632","8.1735928","99.66865260000002","http://maps.google.com/maps/place?cid=13949755328918537632","","","","",""
"Cannabiz Nakhon Thasala","ท่าศาลา อำเภอท่าศาลา นครศรีธรรมราช 80160","0988844030","ร้านขายกัญชาในตำบล ท่าขึ้น","","5.0","1","","","ดอกสายพันธุ์ต่างประเทศindica-hybridปลูกด้วยระบบindoorไม่มีหน้าร้าน/มารับเองได้และจัดส่งทั่วประเทศสนใจสั่งซื้อทางfb: Athiwat SamartIndica-hybrid marijuana flowers for sale. Cultivated through a standardized indoor system, drying and curing well....แสดงเพิ่ม","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipMKh1b6Qr7wt_48N8I3rUwruNBnsVWKvo3RUdl6","12716404254734741537","8.690750399999999","99.87534339999999","http://maps.google.com/maps/place?cid=12716404254734741537","","","","",""
"Rudeboy stoned shop - Cannabis shop (ร้านขายกัญชา)","167/65 เมือง นครศรีธรรมราช 80000","0813001932","ร้านขายกัญชาในเทศบาลนครนครศรีธรรมราช","https://web.facebook.com/ThaiRudeboy/","5.0","60",""," วันพุธ 10:00–21:00, วันพฤหัสบดี 10:00–21:00, วันศุกร์ 10:00–0:00, วันเสาร์ 10:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–21:00,","Cannabis shop near the train station, bus station, and airport.🚇4 minutes from train station.🚌4 mimutes from bus station.✈️17 minutes from airport.ร้านอยู่ใกล้สถานีรถไฟนครศรีธรรมราชร้านอยู่ใกล้ บขส นครศรีธรรมราชร้านอยู่ใกล้ สนามบิน...แสดงเพิ่ม","Yes","No","No","No","No","ของครบจบในที่นี้ที่เดียวครับ มีน้องเหมียวน่ารักๆด้วย 😸 เจ้าของร้านก็ใจดีมากๆ 😺🐱😸","ได้รับ 5.0 จาก 5 ดาว,","พนักงานบริการดีมากค่ะ สินค้าคุณภาพดี ให้ 5 ดาว เลยค้ะ อย่าลืมไปแวะอุดหนุนน่ะค่ะ","ได้รับ 5.0 จาก 5 ดาว,","ครบเครื่องเรื่องสมุนไพร พร้อมให้คำแนะนำ บรรยากาศในร้านสบาย น้องแมวน่ารัก😺","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","14461623433296416081","8.4430517","99.95173109999999","http://maps.google.com/maps/place?cid=14461623433296416081","","https://www.facebook.com/ThaiRudeboy","","",""
"Gorilla Farm (ร้านขายกัญชา)","137 11 ถ. พัฒนาการคูขวาง ตำบล ในเมือง อำเภอเมืองนครศรีธรรมราช นครศรีธรรมราช 80000","0842439391","ร้านขายกัญชาในเทศบาลนครนครศรีธรรมราช","https://www.facebook.com/Gorilla.Farm.Th?mibextid=LQQJ4d","5.0","38",""," วันพุธ 13:00–2:00, วันพฤหัสบดี 13:00–2:00, วันศุกร์ 13:00–2:00, วันเสาร์ 13:00–2:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 13:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 13:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 13:00–2:00,","","Yes","No","No","No","No","ของดีเมืองนคร ต้องร้านนี้เท่านั้น เน้นคลานกลับบ้านครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านหน้านั่งฟิวสบายๆชิวๆ แอบบอกว่าของคุณภาพสุดๆ","ได้รับ 5.0 จาก 5 ดาว,","ราคาดี เป็นกันเอง เข้ามาชมกันได้","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPWnscMnWLzXLRFGBNVVt-0lsuEigiUE0zgeu82","3027825096748269023","","","http://maps.google.com/maps/place?cid=3027825096748269023","","https://www.facebook.com/Gorilla.Farm.Th","","",""
"N.N.Organic Farm (ฟาร์มกัญชาถูกกฎหมาย)","14 ฉลอง ตำบล ฉลอง อำเภอ สิชล นครศรีธรรมราช 80120","0962914280","ร้านขายกัญชาในตำบล ฉลอง","https://www.facebook.com/profile.php?id=100087168656525&mibextid=LQQJ4d","4.9","60",""," วันพุธ 10:00–23:00, วันพฤหัสบดี 10:00–23:00, วันศุกร์ 10:00–23:00, วันเสาร์ 10:00–23:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–23:00,","","Yes","No","No","No","No","มาร้านนี้เลยครับ เจ้าของร้านใจดีเป็นกันเองวิวดีที่นั่งสบาย ได้บรรยากาศสุดๆ","ได้รับ 5.0 จาก 5 ดาว,","แนะนำ ร้าน นี้ เด็ด ราคาโดนใจ พิกัด หลังวัด เจดีย์ไอ้ไข่ หรอยๆเจ้าของร้าน ใจดี","ได้รับ 5.0 จาก 5 ดาว,","บริการดีมากๆค้าบ ขอบคุณพี่ๆค้าบ😘😘😘","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","5982972954399446341","8.9162541","99.8380404","http://maps.google.com/maps/place?cid=5982972954399446341","","https://www.facebook.com/people/N-N-Organic-Farm-Thailand-v1/100087168656525/","","",""
"Twin Farm OG","63 หมู่13 อำเภอ สิชล นครศรีธรรมราช 80120","0936734330","ร้านขายกัญชาในตำบล ทุ่งปรัง","","5.0","5",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipMHxS4oOhOBzBGqvDeCDGaALIj8e3R2nQNuHboF","2685438099604252251","8.982852399999999","99.8934742","http://maps.google.com/maps/place?cid=2685438099604252251","","","","",""
"ร้านกัญชาWocogloy420 (Cannabis Shop)","29 ชะอวด ตำบล ชะอวด อำเภอ ชะอวด นครศรีธรรมราช 80180","0616303554","ร้านค้าในตำบล ชะอวด","https://www.facebook.com/profile.php?id=61550684159301&mibextid=LQQJ4d","4.5","8",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ดอกไม้คุณภาพราคาเป็นกันเองคาคอทุกตัว","ได้รับ 5.0 จาก 5 ดาว,","ถึงกลิ่นถึงใจเข้าถึงเนื้อ👌🏻🤟🏻🤟🏻","ได้รับ 5.0 จาก 5 ดาว,","ชะอวดหวานเจี๊ยบ ดอกร้านนี้เมาครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","13261978590958407812","7.968572099999999","99.9957211","http://maps.google.com/maps/place?cid=13261978590958407812","","https://www.facebook.com/people/Hunge-Grower/pfbid02qknAF86YrnjJuTSKGGRucjDvWdmCGjjBNbwpvPmer4HCiJ29ghyVA6EBN72xE6xpl/","","",""
"กัญชานครศรีธรรมราช exoticหลักสิบบาท","5 ตำบล โพธิ์เสด็จ เมือง นครศรีธรรมราช 80000","0981515776","","","","",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipOxScLLTLnn_rpcIWRHe_7QHsUVF6g3rgHVRJfL","9214521222214157662","8.413297000000002","99.94529059999999","http://maps.google.com/maps/place?cid=9214521222214157662","","","","",""
