"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"ยิ้มหวาน(สาขา1) 24 ชม","993 นครสวรรค์ตก เมือง นครสวรรค์ 60000","0968061080","ร้านขายกัญชาในเทศบาลนครนครสวรรค์","","5.0","4",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ดีมากค่ะ บริการดี ของก็ราคาดี คุณภาพ พ่อค้าแนะนำดีมาก","ได้รับ 5.0 จาก 5 ดาว,","เมามากคับ ถูกด้วย มาแล้วต้องมาซ้ำ เพราะติดใจ😁☘️ ส่งฟรีในเขตอำเภอเมือง☺️☺️🙏🏻","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/","6215683795655045581","15.694918999999999","100.1151615","http://maps.google.com/maps/place?cid=6215683795655045581","","","","",""
"CANNABIS 420 NAKHONSAWAN - Ganjin","4 44 หมู่5 นครสวรรค์ตก เมือง นครสวรรค์ 60000","0849853156","ร้านขายกัญชาในเทศบาลนครนครสวรรค์","https://line.me/ti/p/__xRpWBKzs","5.0","17",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","คุณภาพดีมากครับ พี่ๆแนะนำดี อำนวยความสะดวกสุดๆ No.1 นครสวรรค์","ได้รับ 5.0 จาก 5 ดาว,","เติมมาค่อนชีวิตร้านนี้เด็ดที่สุดเลยครับ บริการดีเป็นกันเองมากๆ","ได้รับ 5.0 จาก 5 ดาว,","ดอกดีมากคับ ราคาสะบายเป๋าเมานานเจ้าของร้านใจดีมากคับ😁👍💯","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMhzH08aOPywUWLcetwNHnv8Q6TYexjCPmoKYMg","9892983575896914796","15.6839984","100.10086020000001","http://maps.google.com/maps/place?cid=9892983575896914796","","","","",""
"Heaven High Cannabis Store","ง112/321 ถนน ดาวดึงส์ ตำบลปากน้ำโพ อ.เมือง นครสวรรค์ 60000","0610098033","ร้านขายกัญชาในเทศบาลนครนครสวรรค์","https://line.me/ti/g/f-guL60LiD","5.0","21",""," วันพุธ 13:00–0:00, วันพฤหัสบดี 13:00–0:00, วันศุกร์ 13:00–0:00, วันเสาร์ 13:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:30–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 13:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:30–0:00,","","Yes","No","No","No","No","บริการดีมากครับ รับประกันความเมา คุณภาพสมราคาครับ ชอบบ 😍","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศดีเจ้าของเป็นกันเอง","ได้รับ 5.0 จาก 5 ดาว,","ของดีสมกับราคา ระวังหลุมลึก⚠️","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","14671486200132397827","15.705072999999999","100.1255544","http://maps.google.com/maps/place?cid=14671486200132397827","","","","",""
"Wicked shop cannabis","933 สวรรค์วิถี 36 นครสวรรค์ตก อำเภอเมืองนครสวรรค์ นครสวรรค์ 60000","0638385253","","","","",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipP-tvnuTzw880dYu9fv6nShqtZqDNHIPQWG-Bkd","7203582916786955852","15.6937176","100.11422329999999","http://maps.google.com/maps/place?cid=7203582916786955852","","","","",""
"Heaven store","446 ตำบลปากน้ำโพ อำเภอเมืองนครสวรรค์ นครสวรรค์ 60000","0638385253","ร้านขายกัญชาในเทศบาลนครนครสวรรค์","","5.0","2",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","6947817266390813796","15.6962262","100.1111523","http://maps.google.com/maps/place?cid=6947817266390813796","","","","",""
"BIGAOD สี่แยกสับไฟ","1164 66 ตำบลนครสวรรค์ตก อำเภอเมือง นครสวรรค์ 60000","0855432866","ร้านขายกัญชาในเทศบาลนครนครสวรรค์","","5.0","3",""," วันพุธ 11:00–22:00, วันพฤหัสบดี 11:00–22:00, วันศุกร์ 11:00–22:00, วันเสาร์ 11:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 11:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 11:00–22:00,","","Yes","No","No","No","No","เจ้าของร้านบริการดี ราคาสมกับคุณภาพ ไปซ้ำแน่นอน 👍","ได้รับ 5.0 จาก 5 ดาว,","กลิ่นชัด ดอกเมาาา ☺️ ราคามิตรแท้😘😘😘","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/AF1QipPdDCiz49g8VYboSNVic-zyWmBaF6czjlgzc18P","9948682178877460569","15.703837499999999","100.10221639999999","http://maps.google.com/maps/place?cid=9948682178877460569","","","","",""
"วิมานแมน cannabis 420","ช64/168 อำเภอเมืองนครสวรรค์ นครสวรรค์ 60000","0832147242","ร้านขายกัญชาในเทศบาลนครนครสวรรค์","https://www.facebook.com/profile.php?id=100063653922711&mibextid=ZbWKwL","5.0","2",""," วันพุธ 9:30–22:20, วันพฤหัสบดี 9:30–22:20, วันศุกร์ 9:30–22:20, วันเสาร์ 9:30–22:20, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–22:20<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:30–22:20<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:30–22:20,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","1356694622015935751","15.698406499999999","100.1262718","http://maps.google.com/maps/place?cid=1356694622015935751","","https://www.facebook.com/people/%E0%B8%A7%E0%B8%B4%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%A1%E0%B8%99-%E0%B9%81%E0%B8%84%E0%B8%99%E0%B8%99%E0%B8%B0%E0%B8%9A%E0%B8%B4%E0%B8%AA/100063653922711/?mibextid=ZbWKwL","","",""
"Juice weed","Juice Weed 98/38, อำเภอเมืองนครสวรรค์ 60000","0979423969","ร้านขายกัญชาในเทศบาลนครนครสวรรค์","https://www.facebook.com/JuiceWeedNsn","5.0","1",""," วันพุธ 7:30–21:00, วันพฤหัสบดี 7:30–21:00, วันศุกร์ 7:30–21:00, วันเสาร์ 7:30–21:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 7:30–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 7:30–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 7:30–21:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipPlCl1RvF6LyYk6gWKyzvTvomoxpZIZ8pc7-Cwz","6759136651777782175","15.6787841","100.0864879","http://maps.google.com/maps/place?cid=6759136651777782175","","https://www.facebook.com/JuiceWeedNsn","","",""
"Chicken farm 420","เลขที่946 27 ตำบลนครสวรรค์ตก เมือง นครสวรรค์ 60000","0992924656","ร้านขายกัญชาในเทศบาลนครนครสวรรค์","https://www.facebook.com/profile.php?id=61557351449058&mibextid=LQQJ4d","5.0","6",""," วันพุธ 7:00–3:00, วันพฤหัสบดี 7:00–3:00, วันศุกร์ 7:00–3:00, วันเสาร์ 7:00–3:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 7:00–3:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 7:00–3:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 7:00–3:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","17806893628967721429","15.696046899999997","100.1139147","http://maps.google.com/maps/place?cid=17806893628967721429","","https://www.facebook.com/people/BETA-TEST-420/61557351449058/","","",""
"80Greenhouses","80 ตำบล พระนอน เมือง นครสวรรค์ 60000","0611108219","ร้านขายกัญชาในตำบล พระนอน","https://www.facebook.com/80Greenhouses?mibextid=LQQJ4d","5.0","1",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipMYw4HYLb4sYLMLIK1oLhIL4aefnaf_tj_-mUeO","2616178409194292428","15.648157200000002","100.2419041","http://maps.google.com/maps/place?cid=2616178409194292428","","https://www.facebook.com/80Greenhouses?mibextid=LQQJ4d&_rdr","","",""
