"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"Sweet Cannabis ร้านกัญชา สวีท แคนนาบิส","69 33 ซอย บางเทา 12 ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต 83110","0853116637","","","","",""," วันพุธ 7:00–1:00, วันพฤหัสบดี 7:00–1:00, วันศุกร์ 7:00–3:00, วันเสาร์ 10:00–3:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 7:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 7:00–1:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","11178955019963507404","7.984322100000001","98.2868007","http://maps.google.com/maps/place?cid=11178955019963507404","","","","",""
"Caliva Phuket cannabis shop","banzaan fresh market ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต 83150","0927586999","ร้านขายกัญชาในตำบลป่าตอง","","5.0","77",""," วันพุธ 11:00–0:00, วันพฤหัสบดี 11:00–0:00, วันศุกร์ 11:00–0:00, วันเสาร์ 11:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 11:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 11:00–0:00,","","Yes","No","No","No","No","ร้านน่านั่ง สินค้ามีคุณภาพพนักงานใส่ใจในบริการ","ได้รับ 5.0 จาก 5 ดาว,","ราคาดี สถานที่กว้างขว้าง","ได้รับ 5.0 จาก 5 ดาว,","พนักงานน่ารักมาก พูดจาดีมาก","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipN17ErbXsZt0z5ak5DwJECLkbEdxS-TeFXLOExu","17574945457277296730","7.8910512","98.30168499999999","http://maps.google.com/maps/place?cid=17574945457277296730","","","","",""
"GALEXY HIGH","18 6 ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต 83150","0843309171","","","","","","","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","11273141994438373468","7.899638599999999","98.303497","http://maps.google.com/maps/place?cid=11273141994438373468","","","","",""
"ME KUSH PHUKET","308 เมือง ภูเก็ต 83000","0825953242","ร้านขายกัญชาในตำบล รัษฎา","","5.0","23",""," วันพุธ 9:00–3:00, วันพฤหัสบดี 9:00–3:00, วันศุกร์ 9:00–3:00, วันเสาร์ 15:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 15:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–3:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–3:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipM6lVTL5b4QGyj8r9GekY9cLF0h-ttrTiAOSrgV","12163814020890759650","7.907060400000001","98.3747049","http://maps.google.com/maps/place?cid=12163814020890759650","","","","",""
"Natalie cannabis kratom","179 16 ซอย แสนสบาย ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต 83150","0909566651","ร้านขายกัญชา","","4.8","31",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","2717446444151528690","7.892584500000001","98.3013184","http://maps.google.com/maps/place?cid=2717446444151528690","","","","",""
"Cannabis shop Phuket (Phuakkan)","369/63 อำเภอเมืองภูเก็ต ภูเก็ต 83000","0858808735","ร้านขายกัญชาในเทศบาลนครภูเก็ต","https://www.facebook.com/phuakkanphuket?mibextid=LQQJ4d","4.9","19",""," วันพุธ 10:00–2:00, วันพฤหัสบดี 10:00–2:00, วันศุกร์ 10:00–2:00, วันเสาร์ 10:00–2:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–2:00,","สวัสดี🙏 พวกกัญสามกอง สวรรค์นักสูบ มีดอกไม้หลากหลายมากกว่า 30 สายพันธุ์ อุปกรณ์ต่างๆครบจบในที่เดียว เริ่มตั้งแต่ราคาหลักสิบจนไปถึงหลักพัน สินค้าคุณภาพคุ้มค่าคุ้มราคาแน่นอน✅❤️#สามกอง#ตรงข้ามร้านโชกุน#ถนนเยาวราช#ภูเก็ต#กัญชาใกล้ฉัน#cannabis shop...แสดงเพิ่ม","Yes","No","No","No","No","ราคาดี มีหลายสายพันธุ์ พนักงานในร้านหน้าตาดีมาก บริการดีเป็นกันเองครับ 😵‍💫👍🏻","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้าให้คำแนะนำดีค่ะ ร้านดูสะอาดตา แนะนำเลยค่ะ สินค้าดีจริงๆ","ได้รับ 5.0 จาก 5 ดาว,","เข้าร้านนี้้ทีไรเมาจริงจังทุกรอบเลย น้องๆเป็นกันเอง โดนใจเลยค้าบ ♥️♥️♥️","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMeDKf2dF5Wr8bj159mrRAgnElF7PWRtqOZf4ge","6090437394196474688","7.9021445","98.37881039999999","http://maps.google.com/maps/place?cid=6090437394196474688","","https://www.facebook.com/phuakkanphuket","","",""
"420 Cannabis @ Naiyang Beach Phuket - The Best WEED in Phuket - HKT","99 สาคู 10 Nai Yang Soi 2 ตำบลสาคู อำเภอถลาง ภูเก็ต 83110","0859703763","ร้านขายกัญชาในตำบลสาคู","https://instagram.com/420cannabis_phuket?igshid=YmMyMTA2M2Y=","4.9","53",""," วันพุธ 7:00–1:00, วันพฤหัสบดี 7:00–1:00, วันศุกร์ 7:00–1:00, วันเสาร์ 7:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 7:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 7:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 7:00–1:00,","Step into an unparalleled experience at our Phuket shop, where excellence meets satisfaction. Discover the finest selection of strains in a welcoming environment. From the moment you enter, our commitment to providing top-notch service is evident....แสดงเพิ่ม","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","6628653172963901634","8.0942432","98.3037098","http://maps.google.com/maps/place?cid=6628653172963901634","","","","",""
"ร้านกัญชาและร้านอาหาร ราไวย์","469 7 ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต 83130","0642269860","ร้านอาหาร","","4.4","113",""," วันพุธ 10:00–0:00, วันพฤหัสบดี 10:00–0:00, วันศุกร์ 10:00–0:00, วันเสาร์ 10:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–0:00,","","Yes","No","No","No","No","รสชาติอร่อยค่ะ บรรยากาศดี 💚","ได้รับ 5.0 จาก 5 ดาว,","อาหารอร่อย เจ้าของร้านและพนักงานดูแลดีมาก","ได้รับ 5.0 จาก 5 ดาว,","อาหาร อร่อย ชอบ เฉาก๋วยกัญชา หอมหวาน ค่ะ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPAq3McEBod4tEMwRNedegEZ0etkDDToq9rz8o3","13595724239101415324","7.772077800000001","98.3214538","http://maps.google.com/maps/place?cid=13595724239101415324","","","","",""
"HKT420 Cannabis Phuket","285 285 ถ. ศรีสุนทร อำเภอถลาง ภูเก็ต 83110","0894749265","ร้านกาแฟ","https://heylink.me/HKT420PhuketCannabis/","5.0","26",""," วันพุธ 10:00–1:00, วันพฤหัสบดี 10:00–1:00, วันศุกร์ 10:00–1:00, วันเสาร์ 10:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–1:00,","","Yes","No","No","No","No","ของดี เมาได้แรงอก น้ำสะอาดอย่างชอบเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","เนื้อคุณภาพดีมากกกกกก ราคาไม่แพงอีกด้วย Good quality , thank you HKT420","ได้รับ 5.0 จาก 5 ดาว,","บริการดี ถูกใจสายเขียว","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","6898609515060244625","7.9892767","98.30437889999999","http://maps.google.com/maps/place?cid=6898609515060244625","","","","",""
"PHUJAH CANNA cafe'","58 54 ม.8 ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต 83000","0620693221","ร้านขายกัญชา","https://www.facebook.com/profile.php?id=100093340938194&mibextid=ViGcVu","5.0","9",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipO4GiX77OffwBDfwNrkxf4kTvTcWym7ALmi8PNQ","1423740671405498108","7.828495699999999","98.34158649999999","http://maps.google.com/maps/place?cid=1423740671405498108","","https://www.facebook.com/?wbltns","","",""
