"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"ร้านกัญชา High Cloud ปากเกร็ด Pak Kret","111 165 ตำบล ปากเกร็ด อำเภอปากเกร็ด นนทบุรี 11120","0924044787","ร้านขายกัญชาในเทศบาลนครปากเกร็ด","","5.0","217",""," วันพุธ 11:00–21:00, วันพฤหัสบดี 11:00–21:00, วันศุกร์ 11:00–21:00, วันเสาร์ 11:00–21:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 11:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 11:00–21:00,","","Yes","No","No","No","No","บรรยากาศดี พนักงานน่ารัก บริการดีเป็นกันเอง ชอบมากค่ะ แล้วจะไปอุดหนุนอีกนะคะ","ได้รับ 5.0 จาก 5 ดาว,","จุดสังเกตุของร้านค้อนข้างมองเห็นยากไปนิดนึง การบริการดีครับคนขายมีประสบการณ์ตรง","ได้รับ 5.0 จาก 5 ดาว,","เจ้าของร้านบริการดีครับ ร้านสะอาดแนะนำร้านนี้เลยครับ 🍃🍃🍃","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","527857599047681017","13.915142099999999","100.49773599999999","http://maps.google.com/maps/place?cid=527857599047681017","","","","",""
"345 Cannabis Dispensary-Delivery Weed กัญชา","56/49 ชวนชื่นทาวน์ ราชพฤกษ์-345 ถนน 345 ตำบล ลำโพ อำเภอบางบัวทอง นนทบุรี 11110","0825766996","ร้านขายกัญชาในตำบล ลำโพ","https://line.me/ti/p/NHMS9php-G","4.9","31",""," วันพุธ 6:00–0:00, วันพฤหัสบดี 6:00–0:00, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 6:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 6:00–0:00,","","Yes","No","No","No","No","ของดีครับ รับประกันครับ เจ้าของใจดี ชอบมากครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี่ดีครับ พี่เขากันเองแนะนำดี 😁💕","ได้รับ 5.0 จาก 5 ดาว,","ร้านบริการดีมากครับ ตอบแชทเร็วมากครับผม ไว้จะกลับมาอุดหนุนใหม่อีกนะครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPErVf_Cu7CLA0gOoDtXZRXJvfDAQTDP-jSo9yg","3769865780041107988","13.950420999999999","100.4419458","http://maps.google.com/maps/place?cid=3769865780041107988","","","","",""
"Flora Cannabis","244 15 ถ. แจ้งวัฒนะ บางตลาด อำเภอปากเกร็ด นนทบุรี 11120","0814036244","ร้านขายกัญชาในเทศบาลนครปากเกร็ด","","5.0","151",""," วันพุธ 10:00–22:00, วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 13:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 13:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–22:00,","","Yes","No","No","No","No","เจ้าของร้านใจดีมากครับ บริการเป็นกันเอง เเวะมาลองได้ครับ ของคุณภาพท็อปเชลฟ์","ได้รับ 5.0 จาก 5 ดาว,","เจ้าของร้านนิสัยดี แนะนำได้ทุกอย่าง ของดีพรีเมี่ยม ราคาถูก แนะนำเลยครับร้านนี้","ได้รับ 5.0 จาก 5 ดาว,","สินค้า คุณภาพ คนขายใจดี แนะนำเลย","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","4546144221980401646","13.9056678","100.5226047","http://maps.google.com/maps/place?cid=4546144221980401646","","","","",""
"Adabs Cannabis Cafe","WG7Q+JW7 ตำบลบ้านใหม่ อำเภอปากเกร็ด นนทบุรี 11120","0938700049","ร้านขายกัญชาในเทศบาลนครปากเกร็ด","https://www.facebook.com/profile.php?id=100092270495568&mibextid=ZbWKwL","5.0","119",""," วันพุธ 14:00–23:00, วันพฤหัสบดี 9:00–23:00, วันศุกร์ 9:00–23:00, วันเสาร์ 9:00–23:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 14:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 14:00–23:00,","","Yes","No","No","No","No","บรรยากาศดีมากครับ น้องที่ร้านบริการดีมากครับ นั่งชิลลๆๆ สบายมากครับ","ได้รับ 5.0 จาก 5 ดาว,","พนักงานในร้านเเนะนำดีมากครับให้ความรู้ดีมากครับมาใช้บริการครั้งที่3แล้ว","ได้รับ 5.0 จาก 5 ดาว,","พนง.แม่ค้าน่ารักมากค้าบ พูดเพราะเป็นกันเองไว้มาซ้ำอีกแน่นอนคับ 😝💓","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipM8YYk2IOmrp9nEhxLoPXCbQX_ZmEysbs1vYYAa","7540947102768254982","13.914017099999999","100.53977119999999","http://maps.google.com/maps/place?cid=7540947102768254982","","https://www.facebook.com/people/ADABSOfficial/100092270495568/","","",""
"87 Cannabis,กัญชาฟาร์มคนไทย","ซ. แจ้งวัฒนะ-ปากเกร็ด 39 ตำบลคลองเกลือ อำเภอปากเกร็ด นนทบุรี 11120","0811714050","ร้านขายกัญชาในเทศบาลนครปากเกร็ด","","4.6","10",""," วันพุธ 18:00–0:00, วันพฤหัสบดี 18:00–0:00, วันศุกร์ 18:00–0:00, วันเสาร์ 17:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 17:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 18:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 18:00–0:00,","","Yes","No","No","No","No","ดีมากก ราคาเป็นกันเอง บริการดี 🙏","ได้รับ 5.0 จาก 5 ดาว,","ของดีมีคุณภาพ จัดไปปปปปป","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/","3957240070133370176","13.9034249","100.54316109999999","http://maps.google.com/maps/place?cid=3957240070133370176","","","","",""
"VooDoo Canabis","ซอย สุขาประชาสรรค์ 2 ตำบลบางพูด อำเภอปากเกร็ด นนทบุรี 11120","0615509963","ร้านขายกัญชาในเทศบาลนครปากเกร็ด","https://lin.ee/A6ZU836","5.0","2",""," วันพุธ 11:30–0:00, วันพฤหัสบดี 11:30–0:00, วันศุกร์ 11:30–0:00, วันเสาร์ 11:30–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:30–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 11:30–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 11:30–0:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipNqvy-ebxzxwBQWBICVLFLEq3I_b02ZRrb6kyfL","9281493684160766120","13.9375728","100.5163283","http://maps.google.com/maps/place?cid=9281493684160766120","","","","",""
"มาเติม Cannabis","อาคารt7 เมืองทองธานี ตำบลบ้านใหม่ อำเภอปากเกร็ด นนทบุรี 11120","","ร้านขายกัญชาในเทศบาลนครปากเกร็ด","","5.0","1","","","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","11208566844858493627","13.917207","100.5564205","http://maps.google.com/maps/place?cid=11208566844858493627","","","","",""
"Cannabis Way","ซอยอัมพร-12 ตำบลบางพูด อำเภอปากเกร็ด นนทบุรี 11120","0954534535","ร้านขายกัญชาในเทศบาลนครปากเกร็ด","","2.0","3",""," วันพุธ 10:00–23:30, วันพฤหัสบดี 10:00–23:30, วันศุกร์ 10:00–23:30, วันเสาร์ 10:00–23:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–23:30,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipMa-Gx2PKjT-wXKwokpybQQBrDD9XxsLARv7tVM","2891033094542337756","13.9364565","100.51859809999999","http://maps.google.com/maps/place?cid=2891033094542337756","","","","",""
"คาเฟ่ เดอ กัญ","21 ซอย เพชรรัตน์ 3/3 ตำบลบางเขน อำเภอเมือง นนทบุรี 11000","0863090171","ร้านขายกัญชาในเทศบาลนครนนทบุรี","https://weed.th/shop/e9d53167-a48b-45b9-9b09-72518da01e54/nonthaburi/%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88-%E0%B9%80%E0%B8%94%E0%B8%AD-%E0%B8%81%E0%B8%B1%E0%B8%8D","5.0","12",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการในวันหยุด</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการในวันหยุด</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","16528226881999969443","13.8700523","100.5457367","http://maps.google.com/maps/place?cid=16528226881999969443","","","","",""
"ร้านกัญชาStardust","50/3ห้องที่2 อำเภอปากเกร็ด นนทบุรี 11120","0936096909","ร้านขายกัญชาในตำบล ท่าอิฐ","https://lin.ee/HngCzL2","5.0","18",""," วันพุธ 12:00–0:30, วันพฤหัสบดี 12:00–0:30, วันศุกร์ 12:00–0:30, วันเสาร์ 12:00–0:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–0:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–0:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:30–0:30,","","Yes","No","No","No","No","ผมซื้อ Oreo king มาลองตามที่พี่แนะนำ ความรู้ดีมากเลยครับ เพลินๆ ไม่แรงมาก","ได้รับ 5.0 จาก 5 ดาว,","ของมีคุณภาพครับ เจ้าของร้านเป็นกันเอง","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้าใจดีสินค้าก็ดีมาเลยครับถ้ามาไม่ผิดหวังครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOXA5_0wzkIbgVBZIGMBbRhHA9OrLp38_fYpp7j","698343312350899831","13.893387400000002","100.4640327","http://maps.google.com/maps/place?cid=698343312350899831","","","","",""
