"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"DP SHOP (ร้านกัญชาพิษณุโลก)","341 | 24 ถ. พิชัยสงคราม เมือง พิษณุโลก 65000","0929993068","ร้านขายกัญชาในเทศบาลนครพิษณุโลก","https://liff.line.me/1645278921-kWRPP32q/?accountId=955epndn","5.0","67",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","คุณภาพดอกถือว่าดีมากครับ กลิ่นชัด ดอกไม่แห้ง ราคาไม่แพง","ได้รับ 5.0 จาก 5 ดาว,","เนื้อหอมฉุยย ราคามิตรภาพ เป็นกันเองง good weed.","ได้รับ 5.0 จาก 5 ดาว,","เมา ราคาถูกจริง จับต้องได้ บรรยากาศสบายๆ เหมือนไปบ้านเพื่อน","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","2313889672466513912","16.817391399999998","100.2865698","http://maps.google.com/maps/place?cid=2313889672466513912","","","","",""
"โนเนีย420 ร้านกัญชา พิษณุโลก","125/46 เมือง พิษณุโลก 65000","0807212321","ร้านขายกัญชาในเทศบาลนครพิษณุโลก","https://www.facebook.com/profile.php?id=61565801888380&mibextid=LQQJ4d","5.0","1",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipNEW8BIdCcLWy-v_xujACJxNC9u_zmzdIJdZ3Bu","7993721682202784925","16.8163218","100.2677697","http://maps.google.com/maps/place?cid=7993721682202784925","","https://www.facebook.com/profile.php?id=61565801888380&mibextid=LQQJ4d&_rdr","","",""
"Bahara bong พิษณุโลก","41/13 เมือง พิษณุโลก 65000","0966023919","ร้านขายกัญชาในเทศบาลนครพิษณุโลก","","5.0","11",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","บริการอย่างกับบ้าน​ เรียนเชิญทุกท่าน​มา​ เอนจอย","ได้รับ 5.0 จาก 5 ดาว,","เมาดีครับ ของตรงปกดีครับ","ได้รับ 5.0 จาก 5 ดาว,","จบที่ bahara bong มาววมีให้เลือกหลากหลายดี👍👍👍","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","17146040310802877675","16.809991999999998","100.2676836","http://maps.google.com/maps/place?cid=17146040310802877675","","","","",""
"HIGH PARADISE SHOP","251 ตำบล บึงพระ เมือง พิษณุโลก 65000","0646436824","ร้านขายกัญชาในตำบล บึงพระ","https://www.facebook.com/HighParadiseShop","5.0","77",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ร้านดี เนื้อของดี บริการคุณภาพ รักสุดๆ แพ๊คมาให้ดีมากครับ","ได้รับ 5.0 จาก 5 ดาว,","ใครมาจากต่างจังหวัดเเนะนำร้านนี่ครับ","ได้รับ 5.0 จาก 5 ดาว,","กิจกรรมแจกเยอะมากครับพ่อค้าใจดีราคาถูกมากๆครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipN62-w0EVOrJtWk7xpRT5MZZzwqA500Eh0K0-dy","5575686696384979102","16.7464433","100.2694556","http://maps.google.com/maps/place?cid=5575686696384979102","","https://www.facebook.com/HighParadiseShop","","",""
"Sweedie 420 (Dispensary)","7 4 ปราบไตรจักร ตำบลบ้านคลอง เมือง พิษณุโลก 65000","0657474514","ร้านขายกัญชาในตำบลบ้านคลอง","https://shorturl.asia/IdZ9E","5.0","3",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการในวันหยุด</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการในวันหยุด</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","🌷Sweedie 420 Dispensary Canabis shop 🌷ร้านจำหน่ายกัญชาสายพันธ์นอก อุปกรณ์กัญ บ้อง มีทุกเกรด ให้เลือกมากกว่า 25 สายพันธ์ ทางร้านเฟ้นหาฟีโนไทป์ใหม่ๆ กลิ่นไม่เหมือนใคร แวะมาจอยมาชนที่ร้านได้ค่ะ มีบริการส่งแกรป ไปรษณีย์ เก็บปลายทาง เปิด 24 ชั่วโมง ค่ะ...แสดงเพิ่ม","Yes","No","No","No","No","ไม่เสียดายเงินเลย คุ้มมากกก ดีกว่าหลายร้านที่ซื้อมา","ได้รับ 5.0 จาก 5 ดาว,","ร้านราคาใช้ได้มีให้เลือกเฃยอะแนะนำเลย","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/","2388222816850520019","16.831375599999998","100.2489497","http://maps.google.com/maps/place?cid=2388222816850520019","","","","",""
"GREENWAY CANNABIS","83 2 ตำบลบ้านกร่าง เมือง พิษณุโลก 65000","0979890449","ร้านขายกัญชาในตำบลบ้านกร่าง","","5.0","8",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ร้านนี้คุณภาพครับ🤟🏼🍁☮️","ได้รับ 5.0 จาก 5 ดาว,","อบอุ่นเป็นกัญเองมากค่ะ","ได้รับ 5.0 จาก 5 ดาว,","คุณภาพดี ไม่ผิดหวังแน่นอน","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipNpaNZltOU2ReWGiFlQYBEJznOj0Rto9QB645Hs","1584885120200307384","16.875461899999998","100.2056496","http://maps.google.com/maps/place?cid=1584885120200307384","","","","",""
"Blackbones (ร้านกัญชา - Cannabis Shop)","หมู่บ้านเกศกานต์ ซอย1 307/83 ตำบลบ้านคลอง เมือง พิษณุโลก 65000","0946012444","ร้านขายกัญชาในตำบลบ้านคลอง","https://line.me/ti/p/~npy.s#~","5.0","54",""," วันพุธ 10:00–23:00, วันพฤหัสบดี 10:00–23:00, วันศุกร์ 10:00–23:00, วันเสาร์ 10:00–23:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–23:00,","Blackbones - ร้านจำหน่ายกัญชาและอุปกรณ์ ☘️ จังหวัดพิษณุโลก มีมากกว่า 20 สเตรนให้เลือกครับ ทั้งดอกออร์แกนิค ใบทริม กัญชาอัดแท่ง ตั้งแต่ราคาถูกยันเกรดพรีเมี่ยม แวะมาลองชิมที่ร้านได้ ✨🙏 ติดต่อง่าย ส่งได้ทั้งแกรบ และไปรษณีย์ ของดีต้องที่นี่เท่านั้นครับ!...แสดงเพิ่ม","Yes","No","No","No","No","ของเป๊ะตรงปกครับ ราคาไม่แพงครับ มีหลายพันธุ์ให้เลือก อุปกรณ์สายเขียวครบ","ได้รับ 5.0 จาก 5 ดาว,","ร้านบรรยากาศดี ชิวดีครับ คนขายเป็นกันเองมากๆครับ","ได้รับ 5.0 จาก 5 ดาว,","บริการดีมากครับ งานดีครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","15815653573446934133","16.8343682","100.2469775","http://maps.google.com/maps/place?cid=15815653573446934133","","","","",""
"“BK. Cannabis”(บีเค. แคนนาบิซ)","111 ตำบลบ้านกร่าง เมือง พิษณุโลก 65000","0950783893","ร้านขายกัญชาในตำบลบ้านกร่าง","","5.0","9",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipNNvckGhpvjrXW6DEvfM8HcxjQerfTYxNegMH4n","11095075803683279822","16.8734982","100.189767","http://maps.google.com/maps/place?cid=11095075803683279822","","","","",""
"PGcannabiz เพื่อนกัญ ร้านกัญชาพิษณุโลก","122 35 ถนนเสนาทิพย์ ในเมือง เมือง พิษณุโลก 65000","0992423104","ร้านขายกัญชาในเทศบาลนครพิษณุโลก","https://n.openlink.co/pgcannabiz","5.0","32",""," วันพุธ 12:00–22:00, วันพฤหัสบดี 12:00–22:00, วันศุกร์ 12:00–22:00, วันเสาร์ 12:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:00–22:00,","","Yes","No","No","No","No","ทีมงานใจดี บรรยากาศสบายๆ ของคุณภาพ ชอบครับ อิอิ","ได้รับ 5.0 จาก 5 ดาว,","ร้านสะอาดบริการดีพ่อค้าเเม่ค้าเป็นกันเองมากครับ💚","ได้รับ 5.0 จาก 5 ดาว,","มาลองกัญได้ครับ ร้านนี้ของแทร่ ร้านตกแต่งดีครับ ของคุณภาพ ต้องมาลองครับ💚🥦","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","5840661430345978357","16.8195746","100.273617","http://maps.google.com/maps/place?cid=5840661430345978357","","","","",""
"The social Cannabis shop","691 99 ถนน พระองค์ขาว ซอย 4 ตำบล ในเมือง อำเภอเมืองพิษณุโลก พิษณุโลก 65000","","ร้านขายกัญชาในเทศบาลนครพิษณุโลก","","4.7","3","","","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipPuADwIW7b_SP46Adeqk5aJnbQ0-4tPe0orqs4","6364629282328507991","16.820733699999998","100.2741822","http://maps.google.com/maps/place?cid=6364629282328507991","","","","",""
