"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"HIGH TIME PATTAYA Cannabis Shop ร้านกัญชา พัทยา","355 12 12 ซอย พระตำหนัก 6 ตำบลหนองปรือ อำเภอบางละมุง ชลบุรี 20150","0820826943","ร้านขายกัญชาในเมืองพัทยา","https://line.me/ti/p/3qnuj3OOwj","5.0","365",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","สินค้าดีมีคุณภาพ ราคาไม่แพง พนักงานเป็นกันเองมากๆไว้จะไปใหม่นะครับ🙏🏽👍🏽","ได้รับ 5.0 จาก 5 ดาว,","ชอบบรรยากาศที่นี้มากๆค่ะ กัญชาดีมาก พี่ๆก็น่ารัก บริการดีทุกคนเลย","ได้รับ 5.0 จาก 5 ดาว,","ฟินจัด ของดีครับ ร้านก็ทำชิวเลยแนะนำๆใครที่กำลังหาที่ชิวครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","3399171824261724251","12.911453499999999","100.8674472","http://maps.google.com/maps/place?cid=3399171824261724251","","","","",""
"Thai Sativa Dispensary (cannabis)","231 23 ถ. พัทยาสายสอง เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150","0910417014","ร้านขายกัญชาในเมืองพัทยา","","4.9","89",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","Our business focuses on offering cannabis products and accessories. High quality inflorescences that have been carefully selected. We pay attention to every step from product selection. Storing products at the right temperature until distribution at...แสดงเพิ่ม","Yes","No","No","No","No","บรรยกาศดีมากเลยครับพี่มีโอกาสรอบหน้าจะเเวะมาเที่ยวครับประสบการดีๆที่พัทยา","ได้รับ 5.0 จาก 5 ดาว,","พนักงานบริการดี หน้าตาดี สินค้าของดีมีครบจบทุกระบบสายเขียว แนะนำร้านนี้เลยค่ะ","ได้รับ 5.0 จาก 5 ดาว,","ร้านสวยงามมากเลยครับ แอร์เย็น มีเพลงชิลๆฟัง สินค้าถึงใจทุกตัว แจ่มสุดๆ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOEFg6sUojJICPamhI0kPH2GIFwiGxPjPvwNtaA","2878800841572602376","12.9281946","100.878495","http://maps.google.com/maps/place?cid=2878800841572602376","","","","",""
"HIGHTIME PATTAYA Bar&cannabis shop บาร์&ร้านกัญชา พัทยา","338 341 ถ. พระตำหนัก เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150","0852774707","ร้านขายกัญชาในเมืองพัทยา","","4.9","63",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","คาเฟ่พลังใบห้ามพลาด เพราะที่นี่เป็นเหมือนศูนย์รวมของใบกัญชาหลากหลายชนิดได้นำมาดัดแปลงให้อยู่ในเมนูอาหารและเครื่องดื่มต่าง ๆ และจะมีการจำหน่ายช่อดอกที่นำมาขายให้ทุกคนได้เลือกซื้อ...แสดงเพิ่ม","Yes","No","No","No","No","บริการดีร้านชิวมากเลือกเพลงได้ตามใจชอบพนักงานบริการเป็นกันเอง","ได้รับ 5.0 จาก 5 ดาว,","สินค้าคุณภาพ บริการดี พนักงานน่ารัก 😊😊","ได้รับ 5.0 จาก 5 ดาว,","ร้านฟิลดีค่ะส่วนตัวชอบมากๆของมีคุณภาพ👍🏻","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","11790944042533609904","12.913163899999999","100.8673396","http://maps.google.com/maps/place?cid=11790944042533609904","","","","",""
"King Cannabis Warehouse Dispensary","143 1 มาบยายเลีย 43 เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150","0623205995","ร้านขายกัญชาในเมืองพัทยา","http://kingcannabis.shop/","4.9","108",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","Our company was founded in the land of smiles, in the city of Pattaya. We have combined comfort and experience, which is why the people and tourists of Thailand like King Cannabis. Thanks to the scorching sun and modern LED lamps, we have achieved...แสดงเพิ่ม","Yes","No","No","No","No","ของดีครับเจ้าของร้านเป็นกันเองมากเข้ามากันเยอะๆนะครับ","ได้รับ 5.0 จาก 5 ดาว,","บริการดีมากค่ะราคาถูกสุดๆใครไม่ไปพลาดมากค่ะ","ได้รับ 5.0 จาก 5 ดาว,","จากระยองมาที่พัทยา ของดีจริง คุณต้องลอง","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipNSToGao0-FT-lToKluvMrKfUUvniejrh2neXFt","849735706255580713","12.933421000000001","100.9267299","http://maps.google.com/maps/place?cid=849735706255580713","kingcannabis168pattaya@gmail.com","","","https://www.instagram.com/kingstore_pattaya",""
"Jod Mars Cafe - Cannabis Ganja(Weed) & Dispensary","159 23 ม.5 ถ. พัทยา - นาเกลือ เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150","","ร้านขายกัญชาในเมืองพัทยา","","4.8","100",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ร้านสะอาด ที่นั่งดี บรรยากาศร้านโอเค พนักงาน่ารักเป็นกันเองมากครับ","ได้รับ 5.0 จาก 5 ดาว,","ฟีลร้านดี พี่พนักงานน่ารักค่ะ","ได้รับ 5.0 จาก 5 ดาว,","น่านั่งมากคะ เจ้าของร้านหล่อมากคะ มีเมียยังคะ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","11397586946250477730","12.9533331","100.8894256","http://maps.google.com/maps/place?cid=11397586946250477730","","","","",""
"Danksters Beach","437/1 พัทยา ซ. 6 เมืองพัทยา อำเภอบางละมุง ชลบุรี 20260","0630798200","ร้านขายกัญชาในเมืองพัทยา","","5.0","162",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","พนักงานแนะนำดีสุภาพบรรยากาศดี ครบทุกอย่างเลยค่ะที่นี้","ได้รับ 5.0 จาก 5 ดาว,","บริการดีคนขายแนะนำดีมากครับ","ได้รับ 5.0 จาก 5 ดาว,","ฝากร้านพี่เค้าด้วยนะน่ารักคุยเก่ง🥰😆🤍","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","8108378924798396567","12.942903","100.88490209999999","http://maps.google.com/maps/place?cid=8108378924798396567","","","","",""
"Craftbud Pattaya 420 Coffee Shop & Medical Cannabis Dispensary ชุมชนคนรักกัญชา","60/101 หมู่9 4 ซอย บงกช 6 อำเภอบางละมุง ชลบุรี 20150","0831892232","ร้านขายกัญชา","https://linktr.ee/craftbudpattaya","5.0","164",""," วันพุธ 11:00–2:00, วันพฤหัสบดี 11:00–2:00, วันศุกร์ 11:00–2:00, วันเสาร์ 11:00–2:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 11:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 11:00–2:00,","Craftbud Medical Cannabis Dispensary “Craft your mind”เราพร้อมต้อนรับคุณด้วยบรรยากาศสุดชิลล์ เพื่อให้คุณได้ผ่อนคลายจากความวุ่นวายในชีวิตประจำวัน มาที่นี่คุณจะได้พบกับกาแฟหอมกรุ่น กัญชาคุณภาพสูง เกมสนุกๆ และงานศิลปะที่สวยงาม...แสดงเพิ่ม","Yes","No","No","No","No","พี่ๆที่ร้านใจดีเป็นกันเองบรรยากาศที่ร้านชิวมากข้อสำคัญเนื้อเมามาก","ได้รับ 5.0 จาก 5 ดาว,","ของดีมากเจ้าของแนะนำดีสุดๆ ต้องมาลองครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้่านสะอาดบรรยากาศชิวๆ บริการดี แนะนำให้มาค่ะ😍","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","6669145395699630870","12.923999","100.89138659999999","http://maps.google.com/maps/place?cid=6669145395699630870","","","","",""
"Cannabis by Thai Project @Sukhumvit Pattaya Dispensary (ร้านกัญชา) 大麻","390 125 หมู่ที่ 6 ถ. สุขุมวิท เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150","0646319960","ร้านขายกัญชาในเมืองพัทยา","https://www.facebook.com/profile.php?id=100082987309596","5.0","78",""," วันพุธ 12:00–4:00, วันพฤหัสบดี 12:00–4:00, วันศุกร์ 12:00–4:00, วันเสาร์ 12:00–4:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–4:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–4:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:00–4:00,","ธุรกิจของเรามุ่งเน้นการนำเสนอสินค้าและอุปกรณ์เกี่ยวกับกัญชา ช่อดอกคุณภาพสูงที่ผ่านการคัดสรรอย่างพิถีพิถัน เราใส่ใจในทุกขั้นตอนตั้งแต่การคัดสินค้า การจัดเก็บสินค้าในอุณหภูมิที่เหมาะสม จนถึงการจัดจำหน่ายหน้าร้าน...แสดงเพิ่ม","Yes","No","No","No","No","ของดีต้องที่นี่ครับ น้องน่ารัก บริการดี เพลงเพราะ ร้านสะอาด ตามมานะครับ","ได้รับ 5.0 จาก 5 ดาว,","ทางร้านบริการดีมากค่ะ ของดีมีคุณภาพ","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศชิลๆมีที่นั่งสูบมีน้ำดื่มบริการ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipNzywYixNaS8wbhw0GCsL2CtPKW-vsHIImWF87n","17201368803607729096","12.940291","100.90336549999999","http://maps.google.com/maps/place?cid=17201368803607729096","","https://www.facebook.com/profile.php?id=100082987309596&_rdr","","",""
"Sayhigh Cannabis Shop","162, 243 หมู่ 10 ทัพพระยา หนองปรือ อำเภอบางละมุง ชลบุรี 20150","0991965547","ร้านกาแฟ","","4.8","76",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ร้านชิว คนขายเป็นกันเอง บริการดีจัดด ของเลือกเยอะ บราวนี่อร่อย","ได้รับ 5.0 จาก 5 ดาว,","พนักงาน และการบริการ + กับดอกที่เมาแบบทะลุจัด Say High เลยจร้า","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/","5617361154442660427","12.9148043","100.8711381","http://maps.google.com/maps/place?cid=5617361154442660427","","","","",""
"Cannabis shop ร้านขายกัญชา","WW56+43J เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150","0655864367","ร้านขายกัญชาในเมืองพัทยา","https://www.facebook.com/profile.php?id=100086301241936","5.0","84",""," วันพุธ 9:00–0:00, วันพฤหัสบดี 9:00–0:00, วันศุกร์ 9:00–0:00, วันเสาร์ 9:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–0:00,","","Yes","No","No","No","No","บรรยากาศดีมากกกกกกกก ตามชื่อร้านเลยค่ะ ชิว ริม ด่วน!! มาซ้ำอีกแน่นอน💖💖","ได้รับ 5.0 จาก 5 ดาว,","ช่างเป็นกันเองมีน้องหมาน่ารักรอต้อนรับด้วย","ได้รับ 5.0 จาก 5 ดาว,","โครต เจ๋ง เอาดีๆ บริการอย่างดี แจ๋วแหล่ะ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMxwjbsj9dc-V6KhGdE71k5Aluz6sZ-gj41JgKI","12754959444558418349","12.8440201","100.9724894","http://maps.google.com/maps/place?cid=12754959444558418349","","https://www.facebook.com/people/%E0%B8%84%E0%B8%B8%E0%B8%81%E0%B8%81%E0%B8%B5%E0%B9%89%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%A1%E0%B8%93%E0%B9%8C%E0%B8%94%E0%B8%B5-%E0%B8%84%E0%B8%B8%E0%B8%81%E0%B8%81%E0%B8%B5%E0%B9%89%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2/100086301241936/","","",""
