"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"CPTcannabis (รังสิต)","39 ถ. จรัลสนิทวงศ์ ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130","0839145557","ร้านขายกัญชาในเทศบาลนครรังสิต","","5.0","17",""," วันพฤหัสบดี 9:45–23:00, วันศุกร์ 9:45–23:00, วันเสาร์ 9:45–23:00, วันอาทิตย์ 9:45–23:00, วันจันทร์ 9:45–23:00, วันอังคาร 9:45–23:00, วันพุธ<div>(วันปิยมหาราช)</div> 9:45–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","พ่อค้าเป็นกันเองมากครับราคากันเอง👍รับรองไม่ผิดหวังครับ😁","ได้รับ 5.0 จาก 5 ดาว,","งานคุณภาพ ราคามิตรภาพ ต้องลองคับ","ได้รับ 5.0 จาก 5 ดาว,","คุ้มกับเงินที่เสียไปคับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","2191841727969861878","13.993580699999999","100.6419943","http://maps.google.com/maps/place?cid=2191841727969861878","","","","",""
"World Class Cannabis รังสิต-ธัญบุรีคลอง11","96/2 ม.2 ต.บึงน้ำรักษ์ อ.ธัญบุรี จ.ปทุมธานี 12110 อำเภอธัญบุรี ปทุมธานี 12110","0953909584","ร้านขายกัญชาในตำบล บึงน้ำรักษ์","https://line.me/ti/p/pWk47nkOvn","5.0","3",""," วันพฤหัสบดี 12:00–22:00, วันศุกร์ 12:00–22:00, วันเสาร์ 12:00–22:00, วันอาทิตย์ 12:00–22:00, วันจันทร์ 12:00–22:00, วันอังคาร 12:00–22:00, วันพุธ<div>(วันปิยมหาราช)</div> 12:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipPGVkXoSrMlhnwuXlOM1LwaO2kYyDaNVrySDq1J","17434317028528917992","14.0617249","100.8485841","http://maps.google.com/maps/place?cid=17434317028528917992","","","","",""
"Channel Weed Store Rangsit (RSU) - ร้านขายกัญชา ม.รังสิต เมืองเอก รังสิต ปทุม - Cannabis dispensary","52 044 ถนน เอกทักษิณ 9 ตำบล หลักหก อำเภอเมืองปทุมธานี ปทุมธานี 12000","0918196281","ร้านกาแฟ","https://lin.ee/0clqHsK","5.0","83",""," วันพฤหัสบดี 12:00–23:00, วันศุกร์ 12:00–23:00, วันเสาร์ 12:00–23:00, วันอาทิตย์ 12:00–23:00, วันจันทร์ 12:00–23:00, วันอังคาร 12:00–23:00, วันพุธ<div>(วันปิยมหาราช)</div> 12:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ของดีราคาไม่แพง พ่อค้าแม่ค้าเป็นกันเองมากครับ","ได้รับ 5.0 จาก 5 ดาว,","เจ้าของร้านใจดี สินค้าพรีเมี่ยม ไว้ไปอุดหนุนบ่อยๆนะค้าา","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้าแม่ค้าน่ารักมากเป็นกันเองสุดๆ จัดร้านได้เฟี้ยวมากกกก แนะนำให้มาค่ะ 🍁💚","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","2809546015409604896","13.963986799999999","100.5918931","http://maps.google.com/maps/place?cid=2809546015409604896","","","","",""
"GREEN ZONE NAVANAKORN","12, 23 บ.ด.ถ. ซอย 8 ตำบล คลองหนึ่ง อำเภอคลองหลวง ปทุมธานี 12120","0935242532","ร้านขายกัญชาในตำบล คลองหนึ่ง","","4.9","49",""," วันพฤหัสบดี 10:30–23:00, วันศุกร์ 10:30–23:00, วันเสาร์ 10:30–23:00, วันอาทิตย์ 10:30–23:00, วันจันทร์ 10:30–23:00, วันอังคาร 10:30–23:00, วันพุธ<div>(วันปิยมหาราช)</div> 10:30–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ร้านนี้สิ่งอำนวยความสะดวกดีมากเลยค่ะมีของพร้อมสูบมาน้ำขายดีมากเลยคะ","ได้รับ 5.0 จาก 5 ดาว,","พ่อใจดีจัดๆเป็นกันเองมาเติมที่ร้านก็ได้นะสหายบอกเลยราคาเป็นกันเองจาดด","ได้รับ 5.0 จาก 5 ดาว,","พ่อค่าน่ารีฃักครับมาแซ่บๆนำกันบรรยากาศชิลๆ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOo74AmjiIrbx7WT7UHHlm26VQyghQtButC1sIL","10565716724955211973","14.111616","100.5979144","http://maps.google.com/maps/place?cid=10565716724955211973","","","","",""
"KING WEEZ [ร้านกัญชาปทุมธานี]","สี่แยกสันติสุข ตำบล บางปรอก เมือง ปทุมธานี 12000","0836195418","ร้านขายกัญชาในตำบล บางปรอก","https://lin.ee/LshCQ4j","5.0","122",""," วันพฤหัสบดี 10:00–1:00, วันศุกร์ 10:00–1:00, วันเสาร์ 10:00–1:00, วันอาทิตย์ 10:00–1:00, วันจันทร์ 10:00–1:00, วันอังคาร 10:00–1:00, วันพุธ<div>(วันปิยมหาราช)</div> 10:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ร้านนี้ดีมากครับบริการดีเป็นกันเองเนื้อเมามีให้เลือกหลายแบบด้วยครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านบริการดีครับ มีโปรให้ลูกค้าของเมาๆแน่นอนครับ🙏","ได้รับ 5.0 จาก 5 ดาว,","ร้านสวย ดอกหอมทุกตัว ราคาไม่แพง เมาดีกับบ้านหลับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","16699875988084344984","14.0310109","100.52580929999999","http://maps.google.com/maps/place?cid=16699875988084344984","","","","",""
"We Get High Cannabis Store","99/9-10 ตลาดชัชวาลคลอง7 (ติดกับคาเฟ่อเมซอล ชั้น2 ตำบล บึงคำพร้อย อำเภอลำลูกกา ปทุมธานี 12150","0652392826","","https://www.facebook.com/profile.php?id=100087052243333&mibextid=ZbWKwL","","",""," วันพฤหัสบดี 11:00–23:00, วันศุกร์ 11:00–23:00, วันเสาร์ 11:00–23:00, วันอาทิตย์ 11:00–23:00, วันจันทร์ 11:00–23:00, วันอังคาร 11:00–23:00, วันพุธ<div>(วันปิยมหาราช)</div> 11:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipPhWNuIXPfL7emN4tR_cxBEzbD6rYv-qiwFhIRv","11519404670274182053","13.965025200000001","100.74754279999999","http://maps.google.com/maps/place?cid=11519404670274182053","","https://www.facebook.com/people/Wegethigh-Cannabis-Store/100087052243333/?mibextid=ZbWKwL","","",""
"ร้านกัญชาคลองสาม Cannabank Rangsit Klong3","73 อยู่ติดกับ ร้านขายยาครับ เลยไทยฟู้ดมานิดนึง 6 ถ. โยธาธิการคูคต-คลองหลวง ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12120","0612309009","ร้านขายกัญชาในเทศบาลนครรังสิต","https://www.facebook.com/profile.php?id=100090955594657","5.0","15",""," วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 10:00–22:00, วันอาทิตย์ 9:30–22:00, วันจันทร์ 10:00–22:00, วันอังคาร 10:00–22:00, วันพุธ<div>(วันปิยมหาราช)</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","ราคาถูกคุณภาพดี ดอกแน่นๆ งานเมาหอมๆแน่นอนครับ รับประกัน","ได้รับ 5.0 จาก 5 ดาว,","บริการดีมากครับ มีของแถมด้วย กลิ่นลั่นๆ เลยครับ","ได้รับ 5.0 จาก 5 ดาว,","สินค้าคุณภาพดี อินทรีย์ 100% 💚","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","10294362807046599679","14.000939599999999","100.6636984","http://maps.google.com/maps/place?cid=10294362807046599679","","https://www.facebook.com/people/Cannabank-Rangsit-Klong3/100090955594657/","","",""
"BEYOND CANNABIS X KISSNABRAND DISPENSARY","51 ซอย รังสิต-นครนายก 44 ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130","0983239415","ร้านขายกัญชาในเทศบาลนครรังสิต","https://linkbio.co/Beyondxkissnabrand?utm_source=instabio&utm_medium=profile_share","5.0","72",""," วันพฤหัสบดี 14:00–2:00, วันศุกร์ 14:00–2:00, วันเสาร์ 14:00–2:00, วันอาทิตย์ 14:00–2:00, วันจันทร์ 14:00–2:00, วันอังคาร 14:00–2:00, วันพุธ<div>(วันปิยมหาราช)</div> 14:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","งานไฮเอน ของจริงครับ เมาทุกโหล เพื่อนๆอยุธยามาลองกันได้นะครับ","ได้รับ 5.0 จาก 5 ดาว,","พ่อคุยดีมากกก เป้นกันเองสุดๆ แถมจัดโปรให้แบบจุกๆร้านนี้เลย","ได้รับ 5.0 จาก 5 ดาว,","บริการดี คุณภาพคุ้มราคามากค่ะ 🥰","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipO6Kn8FAMCsT-UiazMLLyDsTNL0GYeAoj_1TOsk","2652667372485941031","13.9877104","100.6373496","http://maps.google.com/maps/place?cid=2652667372485941031","","https://www.facebook.com/BeyondNkissnabrand?mibextid=LQQJ4d","","https://www.instagram.com/beyondcannabis_x_kissnabrand?igsh=MWdkeXZldWFrOXJ2bQ==",""
"420MedicalShop","120 111 ซอย2 ตำบล บางหลวง เมือง ปทุมธานี 12000","0982803422","ร้านขายกัญชาในตำบล บางหลวง","","5.0","1",""," วันพฤหัสบดี 7:00–2:00, วันศุกร์ 7:00–2:00, วันเสาร์ 7:00–2:00, วันอาทิตย์ 7:00–2:00, วันจันทร์ 7:00–2:00, วันอังคาร 7:00–2:00, วันพุธ<div>(วันปิยมหาราช)</div> 7:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","7740882867211547129","14.0055801","100.5127407","http://maps.google.com/maps/place?cid=7740882867211547129","","","","",""
"SayHigh Rangsit Cannabis Shop - ร้านกัญชาเซย์ไฮรังสิต (ลำลูกกา)","รังสิต SayHigh Rangsit A11 52 หมู่ 5 ตลาดกลาง ถ. ลำลูกกา ตำบล ลาดสวาย อำเภอลำลูกกา ปทุมธานี 12150","0644569491","ร้านขายกัญชาในตำบล ลาดสวาย","https://www.facebook.com/profile.php?id=100083300481409&mibextid=LQQJ4d","5.0","162",""," วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์ เปิด 24 ชั่วโมง, วันจันทร์ เปิด 24 ชั่วโมง, วันอังคาร เปิด 24 ชั่วโมง, วันพุธ<div>(วันปิยมหาราช)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>,","","Yes","No","No","No","No","บริการดี พ่อค้าใจดีมากครับเป็นกันเอง อยู่เเถวช่วงตลาดกลางร้านนี้เเนะนําเลยครับ✨🍀","ได้รับ 5.0 จาก 5 ดาว,","ที่ร้านบริการดีมาก เป็นกันเองและแนะนำสินค้าได้ดี บรรยากาศร้านดี แถมน้ำก็อร่อย👍","ได้รับ 5.0 จาก 5 ดาว,","ทางร้านแนะนำดีมากครับ ไม่แพงมาก ราคารับได้ ที่สำคัญเกรดดีๆทุกสายพันธุ์ครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPOQVdk3U0taaySdc_HC1OSIVEspSKduGV3kv4C","916657165932097088","13.961027099999999","100.6843901","http://maps.google.com/maps/place?cid=916657165932097088","","https://www.facebook.com/people/SayHigh-Rangsit/100083300481409/","","",""
