"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"กัญชารังสิต cafe Cannabis & RangsitCannabis Mr.THC Shop & 大麻 & マリファナ","15 9 ซอยบงกช52 คลองสอง อำเภอคลองหลวง ปทุมธานี 12120","0629301530","ร้านขายกัญชาในเทศบาลนครรังสิต","https://www.facebook.com/profile.php?id=100090124754779&mibextid=LQQJ4d","5.0","180",""," วันพุธ 10:00–22:00, วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 10:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–22:00,","","Yes","No","No","No","No","ร้านดีร้านสะดวกสบายมากคับมีครบทุกอย่างจิงๆคนขายเป็นกันเองมากคับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี้บริการลูกค้าดีมากครับ บรรยากาศร้านก็ดีดูเป็นกันเองมากเลยครับ🥰","ได้รับ 5.0 จาก 5 ดาว,","มาเถอะ ไม่ไกล ถ้าไกลแล้วใจรักก็มาเถอะ ของดีของถูกจริง ทีมร้านน่ารักมากๆ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","4746698631920928191","14.004957","100.6413453","http://maps.google.com/maps/place?cid=4746698631920928191","","","","",""
"Herbstore.rangsit","350 คูคต 11 พหลโยธิน 81 ตำบลคูคต อำเภอลำลูกกา ปทุมธานี 12130","0955965952","ร้านขายกัญชาในตำบลคูคต","https://www.facebook.com/profile.php?id=61563364430674&mibextid=ZbWKwL","5.0","125",""," วันพุธ 10:00–2:00, วันพฤหัสบดี 10:00–2:00, วันศุกร์ 10:00–2:00, วันเสาร์ 10:00–2:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–2:00,","","Yes","No","No","No","No","บริการดี เป็นกันเองมากครับ ราคาย่อมเยา เเนะนำใครอยู่เเถวรังสิตมาลองได้","ได้รับ 5.0 จาก 5 ดาว,","ร้านนี้ดีมากเลยค่ะ ชอบมีโปรโมชั่น เเถมให้ ชอบของฟรีค่ะ","ได้รับ 5.0 จาก 5 ดาว,","สายเขียวมเลย ของเขาดีจริง มาลองได้ นครนายก ในร้านหมี่โหน่ง","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMSoZH7idZSjjeTmYfXvt1SW2wOalsFEp16FKuN","13999767585836446121","13.965461999999999","100.61860270000001","http://maps.google.com/maps/place?cid=13999767585836446121","","https://www.facebook.com/people/Herbstorers/61563364430674/","","",""
"ร้านกัญชาคลองสาม Cannabank Rangsit Klong3","73 อยู่ติดกับ ร้านขายยาครับ เลยไทยฟู้ดมานิดนึง 6 ถ. โยธาธิการคูคต-คลองหลวง ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12120","0612309009","ร้านขายกัญชาในเทศบาลนครรังสิต","https://www.facebook.com/profile.php?id=100090955594657","5.0","15",""," วันพุธ 10:00–22:00, วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 10:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:30–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–22:00,","ร้านกัญชารังสิต-คลองสาม ปลูกเองทั้งร้าน ตั้งแต่ใต้ดิน ปลูกที่บ้าน งานอินทรีย์แอร์ครับ ปลูก Super Soil มีหน้าร้านอยู่ติดร้านขายยา ตรงไทฟู้ดมาร์เก็ตคลองสาม Cannabank Rangsit Klong3 รสชาตติดปากถูกใจ แน่นอนครับ ไม่ปวดหัว หยุดใช้เเล้วไม่ท้องเสีย...แสดงเพิ่ม","Yes","No","No","No","No","ราคาถูกคุณภาพดี ดอกแน่นๆ งานเมาหอมๆแน่นอนครับ รับประกัน","ได้รับ 5.0 จาก 5 ดาว,","บริการดีมากครับ มีของแถมด้วย กลิ่นลั่นๆ เลยครับ","ได้รับ 5.0 จาก 5 ดาว,","สินค้าคุณภาพดี อินทรีย์ 100% 💚","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","10294362807046599679","14.000939599999999","100.6636984","http://maps.google.com/maps/place?cid=10294362807046599679","","https://www.facebook.com/people/Cannabank-Rangsit-Klong3/100090955594657/","","",""
"CPTcannabis (รังสิต)","39 ถ. จรัลสนิทวงศ์ ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130","0839145557","ร้านขายกัญชาในเทศบาลนครรังสิต","","5.0","17",""," วันพุธ 9:45–23:00, วันพฤหัสบดี 9:45–23:00, วันศุกร์ 9:45–23:00, วันเสาร์ 9:45–23:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:45–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:45–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:45–23:00,","","Yes","No","No","No","No","พ่อค้าเป็นกันเองมากครับราคากันเอง👍รับรองไม่ผิดหวังครับ😁","ได้รับ 5.0 จาก 5 ดาว,","งานคุณภาพ ราคามิตรภาพ ต้องลองคับ","ได้รับ 5.0 จาก 5 ดาว,","คุ้มกับเงินที่เสียไปคับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMO9ppzgJvIpQ8Qp47wuQ47rtxXZc-bJ9LiGUrJ","2191841727969861878","13.993580699999999","100.6419943","http://maps.google.com/maps/place?cid=2191841727969861878","","","","",""
"GREEN ZONE (ร้านกัญชาคาเฟ่)","หมู่บ้านพูลผล 600/66 หมู่7 ตำบล คูคต ตำบลคูคต อำเภอลำลูกกา ปทุมธานี 12130","0957857287","ร้านขายกัญชาในตำบลคูคต","","5.0","91",""," วันพุธ 10:30–23:00, วันพฤหัสบดี 10:30–23:00, วันศุกร์ 10:30–23:00, วันเสาร์ 10:30–23:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:30–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:30–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:30–23:00,","","Yes","No","No","No","No","ได้ของถูกราคาดีเนื้อเมาบริการดีมากครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านดีคนขายเป็นกันเองมาก งานเกรดดีผ่าน พิกัดซ.9ไทธาธี","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้า ใจดี รั่วๆแบบนี้คุยได้ไม่หยิ่ง บอกเลยมวนเดียวไป💚🪴","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","6065863017091224084","13.970115300000002","100.6317723","http://maps.google.com/maps/place?cid=6065863017091224084","","","","",""
"WEED.SPELLBOUND.OMAKASE","บ้านเลขที่ 8 WEED.SPELLBOUND.OMAKASE 9 รังสิต-ปทุมธานี 5 อำเภอธัญบุรี ปทุมธานี 12130","0917459880","ร้านขายกัญชาในเทศบาลนครรังสิต","https://www.facebook.com/profile.php?id=100009357425630&mibextid=LQQJ4d","5.0","74",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","-WEED.SPELLBOUND.OMAKASE มีบริการให้ลูกค้าได้เปิดโลกและตื่นเต้นกับอุปกรณ์การใช้งาน การบริการของเรา คัดสันดอกไม้คุณภาพ อุปกรณ์พรีเมี่ยม มีบริการจัดส่งไลน์แมนตลอด 24ชมLine up menu- Bonnie & Gummy- Flower premium TH.- Rosin / Live hash rosin- wax...แสดงเพิ่ม","Yes","No","No","No","No","บรรยากาศดีสุดๆพี่ๆที่ร้านเป็นกันเองสุดๆเหมือนอยู่กับพี่ชายตัวเองเลย","ได้รับ 5.0 จาก 5 ดาว,","บริการดีมาก Good Service😃😃 สินค้าคุณภาพดีสมราคาที่จ่าย Good Value to pay 😊✅","ได้รับ 5.0 จาก 5 ดาว,","ของดีที่รังสิตเชิญมาได้เลยครับ ซอย 9 รังสิต-ปทุม","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipMlzIk6Z6CI-xkO6GfsOczwjeOrD3oFVdzIujlW","16874544562062488698","13.986588800000002","100.6116107","http://maps.google.com/maps/place?cid=16874544562062488698","","https://www.facebook.com/people/Budtender-Omakase/100009357425630/","","",""
"ร้านกัญชาไกล้ฉันgrassstation.ลำลูกกา","161/11 หมู่10 อำเภอลำลูกกา ปทุมธานี 12130","0981386024","ร้านขายกัญชา","https://web.facebook.com/profile.php?id=100089868391425","5.0","73",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ร้านดีมาก ราคาไม่ค่อยเเรง บรรยากาศ ฟิลดี พี่ที่ร้านบริการดีมากก สะดวกสุด","ได้รับ 5.0 จาก 5 ดาว,","ร้านบรรยากาศดี ของคุณภาพดี เจ้าของร้านเป็นกันเองสุดครับ","ได้รับ 5.0 จาก 5 ดาว,","ร้านประจำครับ เพลงเพราะ เปิด24hr มาเจอกันได้ครับ ปล.จูเนียร","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","9610090448079988198","13.9513362","100.6305096","http://maps.google.com/maps/place?cid=9610090448079988198","","https://www.facebook.com/ATOMICTattoo13","","",""
"BP SMILE SHOP(ร้านกัญชา)","49 62 ตำบลคูคต อำเภอลำลูกกา ปทุมธานี 12130","0971588532","ร้านขายกัญชาในตำบลคูคต","https://lin.ee/yIWLOvq","5.0","200",""," วันพุธ 8:00–2:00, วันพฤหัสบดี 8:00–2:00, วันศุกร์ 8:00–2:00, วันเสาร์ 8:00–2:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 8:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 8:00–2:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 8:00–2:00,","","Yes","No","No","No","No","คุณภาพดี ราคากันเอง เจ้าของร้านแนะนำดีมาก จะเป็นลูกค้าประจำนะคะ 🙂","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้าใจดี บริการดีมากครับร้านนี้ เนื้ออย่างตึกครับ","ได้รับ 5.0 จาก 5 ดาว,","กัญชาราคาไม่แพง มีจอยเพลย์ให้เล่น แอร์เย็นๆ นั่งชิลๆ พี่พนักงานเป็นกันเอง","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipN5dAVMZSEMlbzLw7b1NTj8ZM6urNSpzXlv1xwB","9924090577935626211","13.9679415","100.63560849999999","http://maps.google.com/maps/place?cid=9924090577935626211","","","","",""
"HOMOBIS ร้านกัญชา รังสิต คลองสาม","45 3 คลองสาม อำเภอคลองหลวง ปทุมธานี 12120","0928599045","ร้านขายกัญชาในตำบล คลองสาม","https://page.line.me/625dyego","5.0","25",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","เเนะนำเลยครับบรรยากาศดีมีเนื้อให้เลือกหลากหลายอยากได้ฟิวไหนบอกทางร้านได้เลยครับ","ได้รับ 5.0 จาก 5 ดาว,","เเนะนำเลยครับ.. บริการดีแนะนำดีมากครับ เติมเพลินๆๆกับชาดอกไม้ ..ดีจริง","ได้รับ 5.0 จาก 5 ดาว,","ร้านดีๆที่แนะนำเลยครับ แล้วคุณจะหลงรักพวกเค้า✨","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","15245274153932115134","14.043591699999999","100.6640508","http://maps.google.com/maps/place?cid=15245274153932115134","","","","",""
"SayHigh Rangsit Cannabis Shop - ร้านกัญชาเซย์ไฮรังสิต (ลำลูกกา)","รังสิต SayHigh Rangsit A11 52 หมู่ 5 ตลาดกลาง ถ. ลำลูกกา ตำบล ลาดสวาย อำเภอลำลูกกา ปทุมธานี 12150","0644569491","ร้านขายกัญชาในตำบล ลาดสวาย","https://www.facebook.com/profile.php?id=100083300481409&mibextid=LQQJ4d","5.0","161",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","ร้านขายกัญชารังสิต ร้านขายกัญชาลำลูกกา จำหน่าย OG งานดอกคุณภาพ ราคาดีๆ และอุปกรณ์ราคาถูก รังสิต (ลำลูกกาคลองสี่) จำหน่ายปลีกและส่ง รับประกันคุณภาพดอก ดอก OG ไทย, ดอก OG สายพันธุ์ต่างประเทศปลูกไทย, อุปกรณ์กัญชาทุกประเภท, กระดาษโรล,...แสดงเพิ่ม","Yes","No","No","No","No","บริการดี พ่อค้าใจดีมากครับเป็นกันเอง อยู่เเถวช่วงตลาดกลางร้านนี้เเนะนําเลยครับ✨🍀","ได้รับ 5.0 จาก 5 ดาว,","ที่ร้านบริการดีมาก เป็นกันเองและแนะนำสินค้าได้ดี บรรยากาศร้านดี แถมน้ำก็อร่อย👍","ได้รับ 5.0 จาก 5 ดาว,","ทางร้านแนะนำดีมากครับ ไม่แพงมาก ราคารับได้ ที่สำคัญเกรดดีๆทุกสายพันธุ์ครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipNMKZpxzYwLY3V-sSbsvBfMgqEctznyZhVxmJy6","916657165932097088","13.961027099999999","100.6843901","http://maps.google.com/maps/place?cid=916657165932097088","","https://www.facebook.com/?wbltns","","",""
