"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"กัญชาคาเฟ่Cannabis Shop","103/112 เมือง สุราษฎร์ธานี 84000","0932759085","ร้านขายกัญชาในเทศบาลนครสุราษฎร์ธานี","","4.8","15",""," วันพุธ 10:00–0:00, วันพฤหัสบดี 10:00–0:00, วันศุกร์ 10:00–0:00, วันเสาร์ 10:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 13:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–0:00,","","Yes","No","No","No","No","พ่อค้าใจคุยสนุกเป็นกันเองมากครับ เนื้อเมามากๆ ราคาถูกเลยครับ ได้อาาาาโรมมมมมม","ได้รับ 5.0 จาก 5 ดาว,","#ราคาถูกมาก แถม#พ่อค้าใจดี จะเป็นลูกค้าประจำเลย","ได้รับ 5.0 จาก 5 ดาว,","แนะนำครับร้านนี้ บริการทุกระดับประทับใจเลยครั บ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","15021636534921127215","9.1069803","99.30656409999999","http://maps.google.com/maps/place?cid=15021636534921127215","","","","",""
"Cannabis Surat เรชซิ่ง ออแกนิค & มีเดาเมาดี","15 1 ตำบล คลองปราบ อำเภอบ้านนาสาร สุราษฎร์ธานี 84120","0637787871","ร้านขายกัญชาในตำบล คลองปราบ","https://www.facebook.com/profile.php?id=100011288704288&mibextid=LQQJ4d","5.0","1",""," วันพุธ 9:30–22:00, วันพฤหัสบดี 9:30–22:00, วันศุกร์ 9:30–22:00, วันเสาร์ 9:30–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> ปิดทำการ, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:30–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:30–22:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipPQtrL5bNmT9avXQRscQ4HX15lC0DQlcTAkcuXO","11984832536941077989","8.7459962","99.3524617","http://maps.google.com/maps/place?cid=11984832536941077989","","https://www.facebook.com/people/%E0%B8%9A%E0%B8%AD%E0%B8%A1-%E0%B9%80%E0%B8%A3%E0%B8%8A%E0%B8%8B%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B8%AD%E0%B8%AD%E0%B9%81%E0%B8%81%E0%B8%99%E0%B8%B4%E0%B8%84/100011288704288/","","",""
"ร้านกัญชา สุราษฎร์ HIGHTHAI420 Cannabis farm","พลาตวาส 21/2 อำเภอกาญจนดิษฐ์ สุราษฎร์ธานี 84160","0995622275","ร้านขายอุปกรณ์ปลูกกัญชาในตำบล พลายวาส","http://lin.ee/D7Gm0tY","5.0","15",""," วันพุธ 10:00–20:00, วันพฤหัสบดี 10:00–20:00, วันศุกร์ 10:00–20:00, วันเสาร์ 10:00–20:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–20:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–20:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–20:00,","ร้านขายอุปกรณ์ - กิ่งชำ - ดิน และ ปุ๋ย สำหรับ (กัญชาสายพันธ์นอก)ปลูกด้วยวิธีพิถีพิถัน Indoor Organic โรงเพาะปลูกควบคุ้มสนใจเข้ามาชม ได้คร้บCannabis Indoor variety of strain .Organic grow everything you need is hereHIGHTHAI420 Farm(Not allow...แสดงเพิ่ม","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","17738108059829747888","9.2194059","99.5091041","http://maps.google.com/maps/place?cid=17738108059829747888","","","","",""
"Ganja Land Surat Thani","ตลาด 326/3-5 ถ. ตลาดใหม่ ตำบลตลาด อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000","0831482244","ร้านขายกัญชาในเทศบาลนครสุราษฎร์ธานี","https://www.facebook.com/profile.php?id=100089544531774&mibextid=LQQJ4d","5.0","19",""," วันพุธ 9:30–22:00, วันพฤหัสบดี 9:30–22:00, วันศุกร์ 9:30–22:00, วันเสาร์ 9:30–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:30–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:30–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:30–22:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipPGwBItlb5CiITBHMBkfODOis3a3pRO2_gvJCU","8350766295088312931","","","http://maps.google.com/maps/place?cid=8350766295088312931","","https://www.facebook.com/people/Ganja-Land-Surat-thani/100089544531774/","","",""
"Back Garden","28/16 ม.1 เมือง สุราษฎร์ธานี 84100","0951592071","ร้านขายกัญชาในเทศบาลนครสุราษฎร์ธานี","","5.0","15",""," วันพุธ 9:00–4:00, วันพฤหัสบดี 9:00–4:00, วันศุกร์ 9:00–4:00, วันเสาร์ 9:00–4:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–4:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–4:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–4:00,","","Yes","No","No","No","No","งานดีพ่อค้าเป็นกันเองมากครับ","ได้รับ 5.0 จาก 5 ดาว,","ดอกครีนๆแบบนี้ทีีผมตามหาเอาไปเลย5ดาว","ได้รับ 5.0 จาก 5 ดาว,","เนื้อฟิวดีมากครับ very good🤟🏻","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","5616379090769978764","9.0798458","99.35288330000002","http://maps.google.com/maps/place?cid=5616379090769978764","","","","",""
"Heaven cannabis","229 1 ตำบล ท่าอุแท อำเภอกาญจนดิษฐ์ สุราษฎร์ธานี 84160","0612346259","ร้านขายกัญชาในตำบล ท่าอุแท","","5.0","1",""," วันพุธ 9:00–21:00, วันพฤหัสบดี 9:00–21:00, วันศุกร์ 9:00–21:00, วันเสาร์ 9:00–21:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–21:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipP2ZYJbTTFUVVgsMZSHqbBZaAI_7QHyoBThzK-N","10685844146394408471","9.1437034","99.6628884","http://maps.google.com/maps/place?cid=10685844146394408471","","","","",""
"กัญตังฟาร์ม 420","166 8 ตำบล บ้านส้อง อำเภอเวียงสระ สุราษฎร์ธานี 84190","0636499316","ร้านขายกัญชาในตำบล บ้านส้อง","","5.0","3",""," วันพุธ 9:00–21:00, วันพฤหัสบดี 9:00–21:00, วันศุกร์ 9:00–21:00, วันเสาร์ 9:00–21:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–21:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","12522149187994722446","8.6213457","99.38755309999999","http://maps.google.com/maps/place?cid=12522149187994722446","","","","",""
"MR.JOE CANNABIS @SURATTHANI","เลขที่ 88/14 ถ. กาญจนวิถี ตำบลบางกุ้ง อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000","","ร้านขายกัญชาในเทศบาลนครสุราษฎร์ธานี","","5.0","17",""," วันพุธ 8:00–0:00, วันพฤหัสบดี 8:00–0:00, วันศุกร์ 8:00–0:00, วันเสาร์ 8:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 8:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 8:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 8:00–0:00,","","Yes","No","No","No","No","เเนะนำร้านนี้เลยครับ ของดีราคาเริ่มต้นถูกมาก พ่อค้าบริการเป็นกันเอง เเถมหนักมาก","ได้รับ 5.0 จาก 5 ดาว,","เนื้อเกรดดี ราคาไม่แพง","ได้รับ 5.0 จาก 5 ดาว,","ของเขาดีจริงๆค่ะ พ่อค้าบริการดี เป็นกันเองมาก เอาไป 50 ดาวเลยค่าาาา","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPvMeQc6Dg-cpJO947iEj4mJUfnxIrVZ815ZKGP","6086304853669244741","9.1552293","99.341825","http://maps.google.com/maps/place?cid=6086304853669244741","","","","",""
"Hotbox Cafe’ & dispensary [weed shop]","560 ตลาด 5 ถนน หน้าเมือง ตำบลตลาด เมือง สุราษฎร์ธานี 84000","0950719789","ร้านขายกัญชาในเทศบาลนครสุราษฎร์ธานี","https://www.facebook.com/profile.php?id=61550741917110&mibextid=LQQJ4d","5.0","51",""," วันพุธ 11:00–0:00, วันพฤหัสบดี 11:00–23:00, วันศุกร์ 11:00–0:00, วันเสาร์ 11:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 11:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 11:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 11:00–0:00,","THE HOT BOX CAFEDispensaryCannabis shopWeed shopweed shopcoffee and foodHigh grade flowerCannabis cultureopen 10.30 - 01.30amAccept credit cards Visa, Masterwebsite click promotionกัญชา#weed shop#cannabis shop#магазин каннабиса#magasin...แสดงเพิ่ม","Yes","No","No","No","No","งานดี ทุกงาน เกรด พรีเมียม🥰🥰 ดอก หอมๆ แวะมา ชมกันได้เลย รับประกันความหอม🥰","ได้รับ 5.0 จาก 5 ดาว,","พี่พนักงานน่ารักมากกก ร้านก็ฟีลดีสุดๆ","ได้รับ 5.0 จาก 5 ดาว,","ร้านน่ารัก พนักงานบริการดี ของให้เลือกใช้เยอะมากกกกก","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","11070916521474817635","9.145466","99.3270502","http://maps.google.com/maps/place?cid=11070916521474817635","","https://www.facebook.com/?wbltns","","",""
"Suwat Cannabis","12 ตลาด 3 ซอย เปรมจิตประชา ตำบลตลาด เมือง สุราษฎร์ธานี 84000","0807962422","ร้านขายกัญชาในเทศบาลนครสุราษฎร์ธานี","https://www.facebook.com/profile.php?id=100093642995393&mibextid=LQQJ4d","5.0","32",""," วันพุธ 12:00–23:30, วันพฤหัสบดี 12:00–23:30, วันศุกร์ 12:00–23:30, วันเสาร์ 12:00–23:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:00–23:30,","","Yes","No","No","No","No","Good แนะนำครับร้านนี้บริการดีดอกหอมรับประกัน💯💚","ได้รับ 5.0 จาก 5 ดาว,","มีหลากหลายสายพันธุ์ให้เลือกเยอะ","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/AF1QipOkHnpjRMOEoVAYePv7xuowujIGrYzTKH0aarJO","14506025671313408522","9.1425494","99.3237619","http://maps.google.com/maps/place?cid=14506025671313408522","","","","",""
