"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"Venus","250 1 Chayangkul Rd อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000","0882665252","ร้านค้าในเทศบาลนครอุบลราชธานี","","5.0","51",""," วันพุธ 10:00–22:00, วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 10:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–22:00,","","Yes","No","No","No","No","ต้องมาน๊าาา ร้านสะอาด บริการดีมากกก ชอบสุดๆงับ💕✨","ได้รับ 5.0 จาก 5 ดาว,","สินค้าคุณภาพเกินราคาพนักงานบริการดีที่สำคัญร้านสวยมากกกก","ได้รับ 5.0 จาก 5 ดาว,","ร้านตกแต่งได้สวย ราคาไม่แพงพนักงานบริการดีแนะนำเลยจ้าต้องร้านวีนัส จาไฮ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","12337481423112512283","15.241524900000002","104.8527251","http://maps.google.com/maps/place?cid=12337481423112512283","","","","",""
"Namo Og สาขาอุบล","152 140 ถนน นครบาล ตำบลไร่น้อย อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000","0635369887","ร้านขายกัญชาในเทศบาลนครอุบลราชธานี","","5.0","1",""," วันพุธ 10:00–22:00, วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 9:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> ปิดทำการ, วันอังคาร 10:00–22:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipOPJ9YmDbLBM8xRBkC8HIHu1IRK7swFw-GlJIiu","3731825972253620155","15.237960099999997","104.8607988","http://maps.google.com/maps/place?cid=3731825972253620155","","","","",""
"Justweed กัญชาอุบล (Cannabis shop)","275 1 ถนน พิชิตรังสรรค์ อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000","0804870469","ร้านขายกัญชาในเทศบาลนครอุบลราชธานี","","5.0","16","","","","Yes","No","No","No","No","น้ำอร่อยมาก บริการดี บรรยากาศน่านั่ง 10/100","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศร้านนั่งได้ยาวๆ เลยยค่าาเจ้าของร้านใจดีมั้กกก กาแฟอร่อย คุกกี้เลิศ🍪☕️✨","ได้รับ 5.0 จาก 5 ดาว,","ชาพีชคือมันจึ้งมากคุณน้า 💋","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","13946931173223955109","15.2337152","104.85398699999999","http://maps.google.com/maps/place?cid=13946931173223955109","","","","",""
"Just Weed คาเฟ่","273 275 ถนน พิชิตรังสรรค์ เมือง อุบลราชธานี 34000","0804870469","ร้านกาแฟ","","5.0","102",""," วันพุธ 10:00–20:00, วันพฤหัสบดี 10:00–20:00, วันศุกร์ 10:00–20:00, วันเสาร์ 10:00–20:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–20:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–20:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–20:00,","","Yes","No","No","No","No","ผ่านมา แวะเข้ามากินชาเขียวกันได้นะครับ ชาเขียวอร่อยมากกกก😵‍💫😵‍💫🤤","ได้รับ 5.0 จาก 5 ดาว,","ดอกสวยเเน่นๆ ฟิลดีหอมอร่อยเมา ดีย์ครับ!!!","ได้รับ 5.0 จาก 5 ดาว,","เมามากขนมอร่อยเหาะกาแฟดีดหวานเจี๊ยบ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPF0dPAp-1WWaOibZ3_CQkio3c-Vt_hvr8C3lIJ","10168640931762024895","15.233747900000001","104.8540252","http://maps.google.com/maps/place?cid=10168640931762024895","","","","",""
"ใบกระท่อมข้างโลตัสอุบล - กัญชาข้างโลตัสอุบล","ร้านใบกระท่อม ข้างโลตัส ซอย ชยางกูร 10 เมือง อุบลราชธานี 34000","045905201","ร้านขายกัญชาในเทศบาลนครอุบลราชธานี","","4.8","5",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","17314783222422665225","15.2515593","104.84944739999999","http://maps.google.com/maps/place?cid=17314783222422665225","","","","",""
"กัญชาอุบลราชธานี SIAMHIGHWEED สยามไฮวีด (ร้านเดียวกัน กับ ร้านกาแฟ)","3/12 ซอย ธรรมวิถี 4/1 ตำบล ขามใหญ่ เมือง อุบลราชธานี 34000","0986355099","ร้านขายกัญชาในตำบล ขามใหญ่","","4.6","11",""," วันพุธ 13:30–18:00, 20:00–22:30, วันพฤหัสบดี 13:30–18:00, 20:00–22:30, วันศุกร์ 13:30–18:00, 20:00–22:30, วันเสาร์ 13:30–18:00, 20:00–22:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> ปิดทำการ, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 13:30–18:00, 20:00–22:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 13:30–22:30,","","Yes","No","No","No","No","พ่อค่าเป็นกัญเองมากครับบบ มีสินค้าให้เลือกเยอะเลยลองแวะมากัญได้นะครับบบ","ได้รับ 5.0 จาก 5 ดาว,","ไปจัดตัว Big ripper มา ของดีเกินราคาจริงๆ","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/AF1QipMGVJFPnwLt73EPuiZcPQervUY77Ml8pPELV1xU","2085773109674270870","15.2671283","104.8380048","http://maps.google.com/maps/place?cid=2085773109674270870","","","","",""
"กระท่อมกัญชา - สามแยกไฟแดงหนองบัว กัญชาอุบล-รับจำนำอุบลราชธานี","ร้านกระท่อม สามแยกไฟแดง ซอย ชยางกูร 19 ในเมือง เมือง อุบลราชธานี 34000","045905201","ร้านขายกัญชาในเทศบาลนครอุบลราชธานี","","3.3","3",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","916530839542220376","15.262775099999999","104.8454836","http://maps.google.com/maps/place?cid=916530839542220376","","","","",""
"GRAVITY Attractive Force of Happiness","ปทุม 24 พิชิดรังสรรค เมือง อุบลราชธานี 34000","0880195678","ร้านขายกัญชาในเทศบาลนครอุบลราชธานี","","5.0","4",""," วันพุธ 10:00–0:00, วันพฤหัสบดี 10:00–0:00, วันศุกร์ 10:00–0:00, วันเสาร์ 10:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–0:00<div><span>เวลาทำการในวันหยุด</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–0:00<div><span>เวลาทำการในวันหยุด</span></div>, วันอังคาร 10:00–0:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipP4OTZ5V8CQ0M4FparHbxidjRLYqBMpYkjqe2TA","4594642479475130141","15.234009700000001","104.8719938","http://maps.google.com/maps/place?cid=4594642479475130141","","","","",""
"Maleekush ubon cannabis&cafe","2 เมือง อุบลราชธานี 34000","0827783181","","","","",""," วันพุธ 10:00–22:00, วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 10:00–20:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–20:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–22:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","4554280907137290783","15.251385800000001","104.8496227","http://maps.google.com/maps/place?cid=4554280907137290783","","","","",""
"ยอดมนุษย์กัญชาคาเฟ่ สาขา ขามใหญ่ อุบลราชธานี","120 วนารมณ์ ตำบล ขามใหญ่ อำเภอเมืองอุบลราชธานี อุบลราชธานี 34000","028215277","ร้านกาแฟ","","5.0","3",""," วันพุธ 9:00–20:00, วันพฤหัสบดี 9:00–20:00, วันศุกร์ 9:00–20:00, วันเสาร์ 9:00–20:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–20:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–20:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–20:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipPtNesUiKrO3cCsXgihzTB7irbuVJFAHklGQgZn","17861561863565153815","15.269684999999999","104.86215949999999","http://maps.google.com/maps/place?cid=17861561863565153815","","","","",""
