"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"เพลินกัญ อุดรธานี cannabis Home","88 53 ตำบล นาดี อำเภอเมืองอุดรธานี อุดรธานี 41000","0911613840","ร้านขายกัญชาในตำบลเชียงพิณ","","4.8","15",""," วันพุธ 7:00–23:00, วันพฤหัสบดี 7:00–23:00, วันศุกร์ 7:00–23:00, วันเสาร์ 7:30–23:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 7:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 7:00–23:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 7:00–23:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","2035274493256422863","17.3981533","102.7470459","http://maps.google.com/maps/place?cid=2035274493256422863","","","","",""
"Candy41 (Cannabis Shop)","49 9 วัฒนานุวงศ์ ตำบลหมากแข้ง อำเภอเมืองอุดรธานี อุดรธานี 41000","0918280845","ร้านขายกัญชา","","4.8","85",""," วันพุธ 13:00–0:00, วันพฤหัสบดี 13:00–0:00, วันศุกร์ 13:00–0:00, วันเสาร์ 13:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 13:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 13:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 13:00–0:00,","","Yes","No","No","No","No","สินค้ามีคุณภาพ และได้รับคำแนะนำที่ดีมากๆ","ได้รับ 5.0 จาก 5 ดาว,","พนักงานยังไม่ค่อยเป็นกันเองเท่าไรครับและถามบางอย่างก็ยังตอบไม่ได้เท่าไรครับ","ได้รับ 1.0 จาก 5 ดาว,","เสื้อสวยๆอย่างเยอะ งานดีๆทั้งนั้นเลย จัดมา1ตัว","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPGC_1DsvTjnpnjsJMaireYLoQwJsRv2ur9J8Bv","10148845981377850087","17.4104609","102.79776129999999","http://maps.google.com/maps/place?cid=10148845981377850087","","","","",""
"Arijuana Udonthani","37 17 ถ. อดุลยเดช ตำบลหมากแข้ง อำเภอเมืองอุดรธานี อุดรธานี 41000","0829566668","ร้านขายกัญชาในเทศบาลนครอุดรธานี","","5.0","58",""," วันพุธ 12:00–0:00, วันพฤหัสบดี 12:00–0:00, วันศุกร์ 12:00–0:00, วันเสาร์ 12:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:00–0:00,","","Yes","No","No","No","No","บริการดีมากค่ะ และทางร้านแนะนำดีค่ะ สาขาอุดรธานี","ได้รับ 5.0 จาก 5 ดาว,","งานเกรดพรีเมี่ยม ของดีจริงๆค่ะ บรรยากาศดีมากๆค่ะ","ได้รับ 5.0 จาก 5 ดาว,","พนักงานบริการดีเป็นกันเองราคาจับต้องได้ครับหอมจุใจ✨✨✨✨✨","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","13405195940820107772","17.4069124","102.79766339999999","http://maps.google.com/maps/place?cid=13405195940820107772","","","","",""
"JaFord Cannabis SHOP/ จำหน่ายกัญชา (อุดร) ข้างๆเซเว่น ซ.พรหมประกาย","99 ข้างๆเซเว่น 999 ถ. พรหมประกาย ต.บ้านเลื่อม อำเภอเมืองอุดรธานี อุดรธานี 41000","0930263481","ร้านขายกัญชาในตำบล บ้านเลื่อม","","4.4","7",""," วันพุธ 10:00–1:00, วันพฤหัสบดี 10:00–1:00, วันศุกร์ 10:00–1:00, วันเสาร์ 10:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–1:00,","","Yes","No","No","No","No","บริการ ดีมาก คับ เมาหนัก ทุกตัว ราคา ถูกด้วย","ได้รับ 5.0 จาก 5 ดาว,","ของเขา ดี คับ มีทุกราคา ย่อมเยา ราคาถูก ด้วย 800 เอง","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/AF1QipOsA7z_dteREJs33OYkxu_H8shQvPaSg-8SF-7j","2090621239334492571","17.3992358","102.7717694","http://maps.google.com/maps/place?cid=2090621239334492571","","","","",""
"THAI STICK STORE (Dispensary cannabis) ร้านกัญชาและอุปกรณ์การปลูกต้นไม้","161 ถ. ประจักษ์ ศิลปาคม ตำบลหมากแข้ง อำเภอเมืองอุดรธานี อุดรธานี 41000","0931102966","ร้านขายอุปกรณ์ปลูกกัญชา","","4.9","84",""," วันพุธ 10:30–22:30, วันพฤหัสบดี 10:30–22:30, วันศุกร์ 10:30–0:00, วันเสาร์ 10:30–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:30–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:30–22:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:30–22:30,","","Yes","No","No","No","No","ผมชอบกลิ่น Rs11 ของร้านนี้นะ มีไอนิดหน่อยแต่อร่อยมาก ๆ เลยครับ 💚","ได้รับ 5.0 จาก 5 ดาว,","ครบ จบที่เดียว ร้านดีสินค้าดี เป็นกันเองมากๆ","ได้รับ 5.0 จาก 5 ดาว,","พนักงานแนะนำและบริการ ดีมากค่ะ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","3296617223152655953","17.408028","102.7920683","http://maps.google.com/maps/place?cid=3296617223152655953","","","","",""
"High Harvest พรหมประกาย","CQ4G+88V ถ. พรหมประกาย ตำบล บ้านเลื่อม อำเภอเมืองอุดรธานี อุดรธานี 41000","0917943840","","","","",""," วันพุธ 10:00–22:00, วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 10:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–22:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipPNq6kQ1uV9R5m6cVXXh6dSTZpyUHLakuBAVLw","3947955703842833046","17.4058889","102.7758056","http://maps.google.com/maps/place?cid=3947955703842833046","","","","",""
"กอดกัญ","212 6 ถนนอุดรดุษฎี ตำบลหมากแข้ง อำเภอเมืองอุดรธานี อุดรธานี 41000","0816512463","ร้านขายกัญชาในเทศบาลนครอุดรธานี","","5.0","10",""," วันพุธ 12:00–23:55, วันพฤหัสบดี 12:00–23:55, วันศุกร์ 12:00–23:55, วันเสาร์ 12:00–23:55, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–23:55<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–23:55<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 12:00–23:55,","","Yes","No","No","No","No","เมาครับ ราคาย่อมเยาด้วย มีหลากหลาย ต้องมาลองให้ครบละครับ","ได้รับ 5.0 จาก 5 ดาว,","มีของแปลกๆ เนื้อก็เมาหลายแบบ ใสๆ/เมาตึ๊บ^^","ได้รับ 5.0 จาก 5 ดาว,","ภายในร้าน ได้บรรยากาศมากๆ เลยครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","11804863588088788670","17.4193979","102.7912372","http://maps.google.com/maps/place?cid=11804863588088788670","","","","",""
"PGR CANNABRICK","เลขที่ 476 ซอย จินตคาม ตำบลหมากแข้ง อำเภอเมืองอุดรธานี อุดรธานี 41000","0993080583","ร้านขายกัญชาในเทศบาลนครอุดรธานี","","4.7","25",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","ทางเราเป็นร้านขายกัญชา กัญชาของเรามีหลายเกรดเริ่มต้นที่หลัก 1Xเท่านั้นเอง!! แต่ของทางร้านมี Mid Grade - Top shelf มาครบจบที่เดียวเราคัดสายพันธุ์ที่ดีที่สุดมาให้ลูกค้าเรียบร้อยแล้วทางเรามีอุปกรณ์เกี่ยวกับกัญชาครบวงจร ไม่ว่าจะเป็นบ้องแก้ว...แสดงเพิ่ม","Yes","No","No","No","No","ดีมากกครับบ ของดีของถูกต้องPGR ร้านพี่ๆเขาเป็นกันเองมากครับ","ได้รับ 5.0 จาก 5 ดาว,","แอร์เย็น ราคาถูกมีโปรโมชั่นบริการดีนั่งเติมสบายๆ :p","ได้รับ 5.0 จาก 5 ดาว,","ผมเมามากครับ ทุกครั้งที่มาร้านนี้","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipOfXdg2uVfqN0t-7iopjXddA-t7Q0kK7YJDxd5J","1016353256087213544","17.3946586","102.7923443","http://maps.google.com/maps/place?cid=1016353256087213544","","","","",""
"BANNOK SHOP","ซอยศรีมงคล 1 ตำบลหนองขอนกว้าง อำเภอเมืองอุดรธานี อุดรธานี 41000","0970578072","ร้านขายกัญชาในเทศบาลนครอุดรธานี","","5.0","28",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","มีแต่ของเกร็ดดีเลยนะ ราคาก็โอเค","ได้รับ 5.0 จาก 5 ดาว,","ดีมาก ตรงปกสวยงามครับเอาไป5ดาว","ได้รับ 5.0 จาก 5 ดาว,","นักกินผักถูกใจสิ่งเนร้💚🤤","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","7866696194537699224","17.3677289","102.81654449999999","http://maps.google.com/maps/place?cid=7866696194537699224","","","","",""
"Weed Station Udon Thani","Thong Kham, ตำบลหมากแข้ง อำเภอเมืองอุดรธานี อุดรธานี 41000","0933831920","ร้านขายกัญชาในเทศบาลนครอุดรธานี","","5.0","1",""," วันพุธ 10:00–3:30, วันพฤหัสบดี 10:00–3:30, วันศุกร์ 10:00–3:30, วันเสาร์ 10:00–3:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–3:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–3:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–3:30,","**Weed Station** is Udon Thani’s premier cannabis shop, offering a curated selection of top-quality cannabis strains, edibles, and accessories. Our knowledgeable staff is dedicated to providing a welcoming environment for all, whether you're a...แสดงเพิ่ม","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipOEcYbOmemgcGNy4e_WC0_n4j9I4W5aMf5_A8KQ","17602057565686131750","17.3971731","102.7995014","http://maps.google.com/maps/place?cid=17602057565686131750","","","","",""
